site_name,site_area,avulsion_start_date,site_lat,site_lon,av_type,source,country,brooke_width_m,width_m,width_m_note
A001,South America,1987,3.7427,-73.5485,fan,edmonds et al 2016,Columbia,,423,belt width of parent channel
A002,South America,1987,4.0451,-73.7608,fan,edmonds et al 2016,Columbia,700,178,belt width of parent channel
A004,South America,2002,3.9769,-73.3943,fan,edmonds et al 2016,Columbia,850,555,belt width of parent channel
A005,South America,1993,4.563,-73.3485,fan,edmonds et al 2016,Columbia,,245,belt width of parent channel
A006,South America,1985,5.1513,-72.5446,fan,edmonds et al 2016,Columbia,,505,belt width of parent channel
A009,South America,1991,7.2251,-71.9329,fan,edmonds et al 2016,Venezuela,,530,belt width of parent channel
A012,South America,2006,7.4123,-68.5536,fan,edmonds et al 2016,Venezuela,130,1250,belt width of parent channel
A014,South America,2005,7.0341,-72.0334,fan,edmonds et al 2016,Venezuela/Colombia,,510,belt width of parent channel
A015,South America,1998,7.0836,-71.9672,fan,edmonds et al 2016,Venezuela,,275,belt width of parent channel
A016,South America,1995,7.0066,-71.9253,fan,edmonds et al 2016,Venezuela/Colombia,,1250,belt width of parent channel
A017,South America,1991,7.0677,-71.882,fan,edmonds et al 2016,Venezuela,,300,belt width of parent channel
A018,South America,1997,3.7613,-73.8341,fan,edmonds et al 2016,Columbia,300,583,belt width of parent channel
A020,South America,1989,7.1738,-71.3719,fan,edmonds et al 2016,Venezuela,,630,belt width of parent channel
A022,South America,1992,-15.871,-66.3614,fan,edmonds et al 2016,Bolivia,,885,belt width of parent channel
A023,South America,1999,-15.7994,-66.3647,fan,edmonds et al 2016,Bolivia,,470,belt width of parent channel
A024,South America,1998,-16.0667,-66.1576,fan,edmonds et al 2016,Bolivia,,640,belt width of parent channel
A025,South America,1991,-15.8841,-65.8525,fan,edmonds et al 2016,Bolivia,,2500,belt width of parent channel
A026,South America,2002,-17.2135,-64.8638,fan,edmonds et al 2016,Bolivia,,962,belt width of parent channel
A027,South America,1991,-17.3709,-64.2165,fan,edmonds et al 2016,Bolivia,,1165,belt width of parent channel
A028,South America,1993,-17.4236,-64.1347,fan,edmonds et al 2016,Bolivia,,553,belt width of parent channel
A030,South America,2002,-17.3597,-64.2268,fan,edmonds et al 2016,Bolivia,,340,belt width of parent channel
A035,South America,1994,-16.2747,-65.2037,fan,edmonds et al 2016,Bolivia,,1875,belt width of parent channel
A037,South America,1990,-17.3139,-64.6131,fan,edmonds et al 2016,Bolivia,,235,belt width of parent channel
A042,South America,1995,-16.9553,-65.3332,fan,edmonds et al 2016,Bolivia,,543,belt width of parent channel
A044,South America,1991,-23.0778,-64.3191,fan,edmonds et al 2016,Bolivia,,371,belt width of parent channel
A045,South America,1992,-17.0743,-62.9938,fan,edmonds et al 2016,Bolivia,,2185,belt width of parent channel
A047,South America,2002,7.5564,-72.0621,fan,edmonds et al 2016,Venezuela,,106,belt width of parent channel
A048,South America,2000,-16.3221,-65.8369,fan,edmonds et al 2016,Bolivia,,1702,belt width of parent channel
A049,South America,1992,-16.969,-62.998,fan,edmonds et al 2016,Bolivia,,1700,belt width of parent channel
A050,South America,1987,-17.3124,-64.2018,fan,edmonds et al 2016,Bolivia,,1150,belt width of parent channel
A051,South America,1998,7.5577,-72.0744,fan,edmonds et al 2016,Venezuela,,315,belt width of parent channel
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta, brooke et al 2022,Angola,72,72,
ANGO2.2003,Africa,2003,-12.88411,13.078039,delta, brooke et al 2022,Angola,395,395,
ARG.001.2001,South America,2001,-27.42641,-65.11226,delta, brooke et al 2022,Argentina,250,250,
B1,South America,1994,-17.0815,-62.9795,fan,valenza et al 2020,Bolivia/Argentina,400,400,average channel width at avulsion site
B10,South America,1987,-16.2728,-65.2038,intra-lobe,valenza et al 2020,Bolivia/Argentina,164,164,average channel width at avulsion site
B11,South America,1994,-16.0662,-66.1572,intra-lobe,valenza et al 2020,Bolivia/Argentina,,38,average channel width at avulsion site
B12,South America,1987,-15.879,-65.859,intra-lobe,valenza et al 2020,Bolivia/Argentina,173,98,average channel width at avulsion site
B13,South America,2010,-15.8668,-66.3614,intra-lobe,valenza et al 2020,Bolivia/Argentina,,112,average channel width at avulsion site
B14,South America,1990,-14.677,-66.5308,intra-lobe,valenza et al 2020,Bolivia/Argentina,110,110,average channel width at avulsion site
B15,South America,2017,-23.0769,-64.3187,fan,valenza et al 2020,Bolivia/Argentina,,355,average channel width at avulsion site
B2,South America,2011,-17.4241,-64.1351,intra-lobe,valenza et al 2020,Bolivia/Argentina,60,60,average channel width at avulsion site
B3,South America,2011,-17.3714,-64.2165,fan,valenza et al 2020,Bolivia/Argentina,,530,average channel width at avulsion site
B4,South America,2016,-17.216,-64.855,fan,valenza et al 2020,Bolivia/Argentina,200,888,average channel width at avulsion site
B6,South America,2017,-16.9729,-65.3985,fan,valenza et al 2020,Bolivia/Argentina,1400,1540,average channel width at avulsion site
B7,South America,2011,-16.7048,-65.65,intra-lobe,valenza et al 2020,Bolivia/Argentina,,132,average channel width at avulsion site
B8,South America,2011,-16.6125,-65.7438,intra-lobe,valenza et al 2020,Bolivia/Argentina,,113,average channel width at avulsion site
B9,South America,2015,-16.3225,-65.8384,intra-lobe,valenza et al 2020,Bolivia/Argentina,159,159,average channel width at avulsion site
BETSIBOKA.2004,Tropical Island,2004,-16.79922,46.93067,fan,brooke et al 2022,Madagascar,1000,1000,
BS0115.1995,Central Asia,1995,39.332065,49.361848,delta,brooke et al 2022,Azerbaijan,130,130,
CA0067.1986,Central America,1986,15.681704,-88.31292,delta,brooke et al 2022,Guatemala,97,97,
CA0194.2007,Central America,2007,14.203061,-91.77736,delta,brooke et al 2022,Guatemala,75,75,
CA0318.1.2002,Central America,2002,26.218492,-111.4146,delta,brooke et al 2022,Mexico,140,140,
CASP1.1991,Central Asia,1991,37.446065,49.928818,delta,brooke et al 2022,Iran,,155,
CON.001.2013,Africa,2013,1.257275,30.459619,delta,brooke et al 2022,Democratic Republic of the Congo,155,97,
ECN0095.1999,North America,1999,53.761827,-60.11699,delta,brooke et al 2022,Canada,72,72,
FIHERENANA.2001,Tropical Island,2001,-23.30676,43.65592,delta,brooke et al 2022,Madagascar,,,
G1,Tropical Island,2007,-5.726,145.527,fan,valenza et al 2020,Papua New Guinea,500,154,average channel width at avulsion site
G10,Tropical Island,2016,-3.3535,138.7594,fan,valenza et al 2020,Papua New Guinea,,59,average channel width at avulsion site
G11,Tropical Island,2013,-6.5762,146.6991,fan,valenza et al 2020,Indonesia,500,219,average channel width at avulsion site
G12,Tropical Island,2009,-6.6624,147.0569,fan,valenza et al 2020,Papua New Guinea,,148,average channel width at avulsion site
G13,Tropical Island,2013,-6.6953,147.2111,fan,valenza et al 2020,Papua New Guinea,,231,average channel width at avulsion site
G14,Tropical Island,2007,-6.6931,147.33,fan,valenza et al 2020,Papua New Guinea,,405,average channel width at avulsion site
G15,Tropical Island,2010,-7.5774,147.2359,fan,valenza et al 2020,Papua New Guinea,,168,average channel width at avulsion site
G16,Tropical Island,2015,-7.671,147.4265,fan,valenza et al 2020,Papua New Guinea,,182,average channel width at avulsion site
G17,Tropical Island,2013,-9.079,149.0407,delta,valenza et al 2020,Papua New Guinea,,215,average channel width at avulsion site
G18,Tropical Island,2015,-9.6293,149.3082,fan,valenza et al 2020,Papua New Guinea,,220,average channel width at avulsion site
G19,Tropical Island,2011,-4.9712,139.9119,fan,valenza et al 2020,Indonesia,,137,average channel width at avulsion site
G2,Tropical Island,2010,-5.1578,144.7887,fan,valenza et al 2020,Papua New Guinea,,37.6,average channel width at avulsion site
G20,Tropical Island,2014,-5.0624,139.7273,intra-lobe,valenza et al 2020,Indonesia,,96,average channel width at avulsion site
G21,Tropical Island,2016,-4.7231,139.3009,fan,valenza et al 2020,Indonesia,752,752,average channel width at avulsion site
G22,Tropical Island,2013,-4.687,138.7889,intra-lobe,valenza et al 2020,Indonesia,,164,average channel width at avulsion site
G23,Tropical Island,2014,-4.3663,136.8475, fan,valenza et al 2020,Indonesia,,290,average channel width at avulsion site
G24,Tropical Island,2014,-4.3488,136.7978,fan,valenza et al 2020,Indonesia,,360,average channel width at avulsion site
G25.1,Tropical Island,2016,-0.767259,133.62207,fan,valenza et al 2020,Indonesia,,110,average channel width at avulsion site
G25.2,Tropical Island,2015,-0.8055,133.62,fan,valenza et al 2020,Indonesia,,310,average channel width at avulsion site
G26,Tropical Island,2013,-3.3172,128.6831,intra-lobe,valenza et al 2020,Indonesia,,205,average channel width at avulsion site
G3,Tropical Island,2011,-9.6482,148.7316,fan,valenza et al 2020,Papua New Guinea,,111,average channel width at avulsion site
G4,Tropical Island,2011,-9.6206,148.65,fan,valenza et al 2020,Papua New Guinea,,24,average channel width at avulsion site
G5,Tropical Island,2015,-4.1512,135.244,fan,valenza et al 2020,Indonesia,,360,average channel width at avulsion site
G6,Tropical Island,2014,-3.96488,135.16649,fan,valenza et al 2020,Indonesia,550,330,average channel width at avulsion site
G7,Tropical Island,2016,-4.0073,135.2514,fan,valenza et al 2020,Indonesia,,87.4,average channel width at avulsion site
G8,Tropical Island,1999,-3.9686,135.0749,intra-lobe,valenza et al 2020,Indonesia,,82,average channel width at avulsion site
G9,Tropical Island,2012,-3.0491,136.3711,fan,valenza et al 2020,Indonesia,95,124,average channel width at avulsion site
H001,Asia,2008,26.5955,87.0109,fan,edmonds et al 2016,Nepal,,4083,belt width of parent channel
H002,Asia,2000,28.0239,95.439,fan,edmonds et al 2016,India,,3228,belt width of parent channel
H005,Asia,1998,28.1144,95.6672,fan,edmonds et al 2016,India,,6190,belt width of parent channel
H006,Asia,1997,26.4924,96.7136,fan,edmonds et al 2016,Myanmar,,1030,belt width of parent channel
H007,Asia,2010,26.8274,88.9309,fan,edmonds et al 2016,India,,512,belt width of parent channel
H008,Asia,2006,26.8164,89.4164,fan,edmonds et al 2016,India,,540,belt width of parent channel
H009,Asia,1994,27.4208,94.2478,fan,edmonds et al 2016,India,,1580,belt width of parent channel
H010,Asia,2006,27.2954,94.0215,fan,edmonds et al 2016,India,,500,belt width of parent channel
H011,Asia,2001,26.7187,89.7586,fan,edmonds et al 2016,India,,350,belt width of parent channel
H013,Asia,1990,27.6664,94.8595,fan,edmonds et al 2016,India,850,1360,belt width of parent channel
H015,Asia,1992,26.9136,86.0457,fan,edmonds et al 2016,Nepal,,138,belt width of parent channel
H016,Asia,2003,26.9491,85.8708,fan,edmonds et al 2016,Nepal,,718,belt width of parent channel
H017,Asia,2002,26.9665,85.8416,fan,edmonds et al 2016,Nepal,,158,belt width of parent channel
H020,Asia,2011,27.293,84.3981,fan,edmonds et al 2016,India,,310,belt width of parent channel
H021,Asia,2001,27.3059,84.4932,fan,edmonds et al 2016,India,,303,belt width of parent channel
H022,Asia,2010,30.2296,77.7357,fan,edmonds et al 2016,India,,180,belt width of parent channel
H023,Asia,2003,26.3585,86.5211,fan,edmonds et al 2016,India,,995,belt width of parent channel
H024,Asia,1999,29.3841,78.8862,fan,edmonds et al 2016,India,,190,belt width of parent channel
H025,Asia,2006,30.1847,77.809,fan,edmonds et al 2016,India,,225,belt width of parent channel
H026,Asia,2001,26.8047,89.4131,fan,edmonds et al 2016,India,,540,belt width of parent channel
H027,Asia,1992,26.8423,88.9466,fan,edmonds et al 2016,India,,512,belt width of parent channel
H028,Asia,2002,26.751,86.1495,fan,edmonds et al 2016,Nepal,,480,belt width of parent channel
H029,Asia,2001,29.2733,78.6082,fan,edmonds et al 2016,India,,390,belt width of parent channel
H030,Asia,2001,27.3056,84.4389,fan,edmonds et al 2016,India,,125,belt width of parent channel
H1,Asia,2011,27.4197,94.2413,fan,valenza et al 2020,India,,369,average channel width at avulsion site
H2,Asia,2013,27.6786,94.8575,fan,valenza et al 2020,India,,176.5,average channel width at avulsion site
H3,Asia,2013,26.9138,86.046,fan,valenza et al 2020,Nepal,190,121,average channel width at avulsion site
H4,Asia,2013,29.380488,78.890506,fan,valenza et al 2020,India,,70,average channel width at avulsion site
H6,Asia,2015,27.4962,96.2185,fan,valenza et al 2020,India,,980,average channel width at avulsion site
Indus.2010,Asia,2010,24.7623,68.05843,delta,brooke et al 2022,India,,,
JA.12.Eritrea,Africa,2006,15.714171,39.427118,delta,brooke et al 2022,Eritrea,,,
JA.18.PNG.1994.1994,Tropical Island,1994,-6.69266,147.32834,fan,brooke et al 2022,India,,,
JA.25.India.1990,Asia,1990,26.929021,92.422025,fan,brooke et al 2022,India,,,
JA.25.India.1996,Asia,1996,26.929021,92.422025,fan,brooke et al 2022,Ethiopia,,,
JA.26.Ethiopia.1988,Africa,1988,4.7164481,36.193232,fan,brooke et al 2022,Ethiopia,350,,
JA.26.Ethiopia.1992,Africa,1992,4.7164481,36.193232,fan,brooke et al 2022,Ethiopia,350,,
JA.26.Ethiopia.1998,Africa,1998,4.7164481,36.193232,fan,brooke et al 2022,Ethiopia,350,,
JA.26.Ethiopia.2002,Africa,2002,4.7164481,36.193232,fan,brooke et al 2022,Ethiopia,350,,
JA.26.Ethiopia.2009,Africa,2009,4.7164481,36.193232,fan,brooke et al 2022,Ethiopia,350,,
JA.26.Ethiopia.2011,Africa,2011,4.7164481,36.193232,fan,brooke et al 2022,Ethiopia,350,,
JA.28.Eritrea.1997.1997,Africa,1997,15.23647,39.686968,delta,brooke et al 2022,Eritrea,,,
JA.30.Eritrea.2007.2007,Africa,2007,15.826031,39.304366,delta,brooke et al 2022,Eritrea,200,,
JA.34.Morocco.2001.2001,Africa,2001,35.314136,-4.973272,delta,brooke et al 2022,Morocco,,,
JA.35.Madagascar.2000.2000,Tropical Island,2000,-21.05695,43.890611,delta,brooke et al 2022,Madagascar,,,
JA.36.Eritrea.2005.2005,Africa,2005,17.537548,38.797771,delta,brooke et al 2022,Eritrea,,,
JA.37.Somalia.1989.1989,Africa,1989,10.589742,44.054035,delta,brooke et al 2022,Somalia,,,
JA.38.Madagascar.1994.1994,Tropical Island,1994,-20.48389,44.163135,delta,brooke et al 2022,Madagascar,,,
JA.4.Kosi.2008.2008,Asia,2008,26.600541,87.010028,fan,brooke et al 2022,India,,,
JA.40.NewGuinea.Madang.1989.1989,Tropical Island,1989,-5.509766,145.89913,delta,brooke et al 2022,New Guinea,,,
JA.69.PNG.2004,Tropical Island,2004,-5.472425,145.73921,delta,brooke et al 2022,Papua New Guinea,,,
JA.69.PNG.2009,Tropical Island,2009,-5.472425,145.73921,delta,brooke et al 2022,Papua New Guinea,,,
JA.8.India.2004.2004,Asia,2004,26.783104,90.956522,fan,brooke et al 2022,India,480,,
JA.82.DeinNewGuinea.2012,Tropical Island,2012,-5.517249,146.07002,delta,brooke et al 2022,New Guinea,,,
JA.91.Peru.1998,South America,1998,-9.270886,-78.45174,delta,brooke et al 2022,Peru,,,
JA.95.PNG.1989.1989,Tropical Island,1989,-5.439398,145.73142,fan,brooke et al 2022,Papua New Guinea,,,
