site_name,avulsion_year,z_p95_ssc,zlog_p95_ssc,z_mean_ssc,zlog_mean_ssc,av_type,site_lat,site_lon,site_area
A004,2002,-0.3819739512442141,0.03159124991633893,-0.6347458861104364,-0.2685781138066691,fan,3.9769,-73.3943,South America
A012,2006,-0.5550335314197238,-0.38695368618796405,-0.5889274463842251,-0.4490850796442555,fan,7.4123,-68.5536,South America
A014,2005,-0.9014106725153501,-0.8903806027651099,-0.6356580755144847,-0.6943294248365369,fan,7.0341,-72.0334,South America
A015,1998,-0.6825818390929071,-0.5209175039654635,-0.5530215469886532,-0.3402380472483059,fan,7.0836,-71.9672,South America
A017,1991,2.1701019904772916,1.4823341466074347,2.9586080675321607,1.926544074390617,fan,7.0677,-71.882,South America
A018,1997,0.01985264871217685,0.3147362190643436,0.32375965919767596,0.5799909698675502,fan,3.7613,-73.8341,South America
A022,1992,-0.7728200745039808,-0.6986609863769726,-0.4219056624096942,-0.32946285601852277,fan,-15.871,-66.3614,South America
A025,1991,-0.37770432193691544,-0.09648893747052285,-0.4185116656963287,-0.25625062071880944,fan,-15.8841,-65.8525,South America
A026,2002,1.5906775662292671,1.736026530833942,1.4508039831468786,1.7559032358063111,fan,-17.2135,-64.8638,South America
A027,1991,0.48335774841477774,0.6580732953983569,0.2825332078300458,0.43512089369922485,fan,-17.3709,-64.2165,South America
A035,1994,-0.01487216032620454,0.26619729019126614,0.5802416059862157,0.593368472281066,fan,-16.2747,-65.2037,South America
A042,1995,0.8139422879752718,0.8462343933193042,1.0903393097323104,1.123537816394921,fan,-16.9553,-65.3332,South America
A044,1991,1.5375272240361582,1.1171415374994265,0.600875771608569,0.7252375030740043,fan,-23.0778,-64.3191,South America
AFR0211.1998,1998,0.3045458277460497,0.4780225906402622,0.6063757461338837,0.8860758047223507,delta,-12.45042,13.48999,Africa
ANGO2.2003,2003,0.09649575822930093,0.4134567794003375,-0.02722369780415737,0.1715049078797247,delta,-12.88411,13.078039,Africa
ARG.001.2001,2001,1.2181891653315544,0.949683872794218,0.28912348448042174,0.5566816656638675,delta,-27.42641,-65.11226,South America
B10,1987,-0.8811367861992561,-0.36788243022462397,-0.13415999265288142,0.11683688502077413,intra-lobe,-16.2728,-65.2038,South America
B12,1987,1.4484089871373218,1.213941826144379,1.0999012728074038,1.0809441830934154,intra-lobe,-15.879,-65.859,South America
B13,2000,-0.10782744233786982,0.21755994658088082,-0.7484616223247017,-0.5855188225287945,intra-lobe,-15.8668,-66.3614,South America
B14,1990,-0.365618899346611,-0.11673194151142659,0.2102020165772971,0.415127779141429,intra-lobe,-14.677,-66.5308,South America
B15,1991,1.7853083762845974,1.2694602956215524,1.4267595042266221,1.1360081041145174,fan,-23.0769,-64.3187,South America
B3,2011,0.31665784532949975,0.5743816899434271,1.196637102190893,1.158631195489229,fan,-17.3714,-64.2165,South America
B6,2007,-0.475273432624731,-0.14735198379925563,-0.11699198603575357,0.16140848256671697,fan,-16.9729,-65.3985,South America
B8,1998,-0.37499290620967557,-0.08353524842975012,-0.4767792221561157,-0.2636096563593134,intra-lobe,-16.6125,-65.7438,South America
B9,2015,0.8593843393832448,0.8509748511211648,0.46370578637879045,0.5945530680701321,intra-lobe,-16.3225,-65.8384,South America
BS0115.1995,1995,0.9306013465524374,0.8159841378826996,0.590632082528992,0.6611853453457638,delta,39.332065,49.361848,Central Asia
CA0067.1986,1986,0.27651161027591636,0.4292628207956655,0.30034366989689665,0.4664181169549666,delta,15.681704,-88.31292,Central America
CASP1.1991,1991,1.1433230827025087,0.8623519644836529,0.37570727323498815,0.6240273601262263,delta,37.446065,49.928818,Central Asia
ECN0095.1999,1999,0.7150847941462477,1.0592204230550697,1.0791733169220081,1.4427192767560273,delta,53.761827,-60.11699,North America
FIHERENANA.2001,2001,-0.3189686220391686,-0.013419319285696242,-0.3250004477599098,-0.0935095268600375,delta,-23.30676,43.65592,Tropical Island
G1,2015,1.636968495107819,1.3506217230410562,0.3611956070756159,0.5439164779223681,fan,-5.726,145.527,Tropical Island
G11,2008,-0.6148091437580744,-0.44562256183466925,-0.6211336849943306,-0.4655345764130977,fan,-6.5762,146.6991,Tropical Island
G14,2004,-0.38835976703884295,0.07385837940678658,-0.27583785157527835,0.1732226257425054,fan,-6.6931,147.33,Tropical Island
G15,2003,-0.33839461547085,-0.37842489725368195,-0.17278351241408332,0.01623476513366603,fan,-7.5774,147.2359,Tropical Island
G16,1994,-0.36219200166967785,-0.4854361495217933,-0.26845711566257074,-0.34021489860647874,fan,-7.671,147.4265,Tropical Island
G18,1995,2.7208544916397392,2.1883076683970524,2.718873039193236,2.193311284955548,fan,-9.6293,149.3082,Tropical Island
G2,2013,-0.44143708985343855,-0.21952899889082428,0.18660073077129508,0.3911359650120378,fan,-5.1578,144.7887,Tropical Island
G22,1998,0.5730272553311976,0.8156113848835794,0.7464219981722531,0.8443788441833191,intra-lobe,-4.687,138.7889,Tropical Island
G23,2005,-0.29262529194841475,0.02118446156650565,-0.09478032700635207,0.16040964878401848, fan,-4.3663,136.8475,Tropical Island
G24,2013,-0.1375139425768258,0.1358333280225734,-0.15080072839488604,0.0639096197659483,fan,-4.3488,136.7978,Tropical Island
G25.2,2007,-0.6302585936093573,-0.3360149306362755,-0.4186493734305978,-0.1610680723049235,fan,-0.8055,133.62,Tropical Island
G3,1999,1.1012547846602132,1.3278891013497995,0.9888868666651048,1.2164874777235182,fan,-9.6482,148.7316,Tropical Island
G4,1998,-0.035103477301019585,0.39966913242873775,0.15936044803068986,0.7679057566170793,fan,-9.6206,148.65,Tropical Island
G5,1997,0.35834235510586876,0.6485886249054016,1.2634910586008772,1.1849858821637616,fan,-4.1512,135.244,Tropical Island
G6,2005,1.0072312380366535,0.9434164206365289,0.10695636079021206,0.3883918637275275,fan,-3.96488,135.16649,Tropical Island
G8,2017,1.9910500405011602,1.577699281571351,1.074110562966487,1.3557697189903468,intra-lobe,-3.9686,135.0749,Tropical Island
G9,2013,3.745122350111884,2.525564549364329,3.8130024746632696,2.725573122551439,fan,-3.0491,136.3711,Tropical Island
H001,2008,-0.2758198674018692,0.09894626891230082,-0.3484376914324557,-0.15945004977815957,fan,26.5955,87.0109,Asia
H002,2000,-0.14955499204216396,0.09080529782882331,0.44169258862039845,0.6000866208943626,fan,28.0239,95.439,Asia
H005,1998,-0.16228342540189297,0.1217028448368966,-0.00833553961236084,0.23550196157079534,fan,28.1144,95.6672,Asia
H009,1994,2.594979218711298,2.1873786719714747,0.5722216279895922,1.2574366296128743,fan,27.4208,94.2478,Asia
H010,2006,0.2577482724675437,0.7638345622889261,0.06945302212305846,0.5521480824698636,fan,27.2954,94.0215,Asia
H011,2001,1.9774255674542442,1.4190373746374632,1.0471725048317915,1.0739328651388256,fan,26.7187,89.7586,Asia
H013,1990,-0.6208972727107724,-0.4526215615887518,-0.3865195286545134,-0.21840514963144525,fan,27.6664,94.8595,Asia
H027,1992,-0.6363336077291549,-0.4083615041828267,-0.40688181823241093,-0.13828671831135578,fan,26.8423,88.9466,Asia
H029,2001,0.892643726622782,0.9339942351693621,1.3194461281537946,1.237117555380047,fan,29.2733,78.6082,Asia
Indus.2010,2010,-0.09606575743844116,0.24433304166364048,0.03082831566185419,0.32952065604652114,delta,24.7623,68.05843,Asia
JA.18.PNG.1994.1994,1994,-0.7806132443215943,-1.077092157148611,-0.8316820069333387,-1.0672166337114686,fan,-6.69266,147.32834,Tropical Island
JA.34.Morocco.2001.2001,2001,-0.33204602470835864,-0.06482519603420285,-0.39419973131193353,-0.2470872571992693,delta,35.314136,-4.973272,Africa
JA.38.Madagascar.1994.1994,1994,-1.2204356784092865,-1.2754282069902103,-0.9663865509453446,-0.8036547343302544,delta,-20.48389,44.163135,Tropical Island
JA.4.Kosi.2008.2008,2008,0.7474247101751742,0.9005782292286683,0.356700563183928,0.49381972433258875,fan,26.600541,87.010028,Asia
JA.40.NewGuinea.Madang.1989.1989,1989,-0.9071377491571422,-1.2761301889059031,-0.8361777644466148,-1.1762850166703702,delta,-5.509766,145.89913,Tropical Island
JA.69.PNG.2004,2004,-0.4861929159266145,-0.11598983856395234,-0.22551875754943226,0.11269945055922859,delta,-5.472425,145.73921,Tropical Island
JA.69.PNG.2009,2009,0.4799552190943158,0.6791935188832313,-0.3379007063264361,-0.019447596610270127,delta,-5.472425,145.73921,Tropical Island
JA.8.India.2004.2004,2004,0.48149327843064826,0.8163374161025959,0.47623934329405343,0.7845241856751711,fan,26.783104,90.956522,Asia
JA.82.DeinNewGuinea.2012,2012,-0.5798768685039307,-0.5818266013085078,-0.4637543933147948,-0.5440289959099385,delta,-5.517249,146.07002,Tropical Island
JAVA3.1992,1992,-0.14800296063432833,0.33742751348803574,0.62085175775436,1.1588931757404177,delta,-6.854915,110.17566,Tropical Island
JAVA5.1995,1995,1.7923825351540137,2.3824792885964774,2.429910055413181,2.5979671079814146,delta,-6.754231,108.81332,Tropical Island
JAVA5.1998,1998,1.2932811707180838,1.0046018370849998,1.0962291514759313,1.1837728725556211,delta,-6.762009,108.82315,Tropical Island
JAVA5.2018,2018,0.04388956196115257,0.4665752865779006,-0.2582054458415139,-0.02972095524585437,delta,-6.751867,108.83116,Tropical Island
JAVA6.2010,2010,0.1100663501255356,0.5406562535702865,0.3916707370904217,0.9254915527007441,delta,-6.235773,108.20044,Tropical Island
JAVA7.1990,1990,-0.4225051711665354,-0.4623861769981378,-0.5851643709243465,-0.6923325587917047,delta,-6.205649,107.87981,Tropical Island
JAVA7.2010,2010,-0.11997204784639096,0.18899858457478258,0.15455423753777162,0.4530961424684645,delta,-6.19215,107.88984,Tropical Island
JAVA8.2018,2018,-0.20548654922319382,0.17649772000722208,-0.5366212520755889,-0.44533444706874487,delta,-6.049775861,106.9867289,Tropical Island
JAVA9.2014,2014,-0.2984811193753545,0.16519195234591785,-0.34366626501720554,-0.018486355383765408,delta,-6.014357,106.63317,Tropical Island
KAZ.001.1993,1993,1.4831950147684736,1.266461901557992,2.107031362034166,1.569999771283848,delta,46.467261,77.256803,Central Asia
KAZ.014.2011,2011,0.6744520156571294,0.7721213210361081,0.14641426215165326,0.3948499411858902,fan,46.104023,60.864246,Central Asia
