OBJECTID,Join_Count,TARGET_FID,site_name,avulsion_year,z_p95_q,zlog_p95_q,z_mean_q,zlog_mean_q,z_flood_dur,zlog_flood_dur,av_type,site_area,site_lat,site_lon,country,continent,identity,climate
1,1,1,A001,1987,2.143494915,1.443076436,2.507279903,1.904714881,1.711281085,1.05445139,fan,South America,3.7427,-73.5485,Colombia,South America,04be7e87-ae6f-b2b8-37ac-7bdc06905d81,Cfb Temperate-Withouth_dry_season-Warm_Summer
2,1,2,A002,1987,1.202725768,1.188198757,1.715324185,1.505290987,1.91690053,1.310027182,fan,South America,4.0451,-73.7608,Colombia,South America,04be7e87-ae6f-b2b8-37ac-7bdc06905d81,Cfb Temperate-Withouth_dry_season-Warm_Summer
3,1,3,A004,2002,-0.726015618,-0.664092723,-0.87646736,-0.903622688,-0.752033952,-1.162990766,fan,South America,3.9769,-73.3943,Colombia,South America,04be7e87-ae6f-b2b8-37ac-7bdc06905d81,Cfb Temperate-Withouth_dry_season-Warm_Summer
4,1,4,A005,1993,-0.24947758,-0.008428693,0.086259446,0.353903408,-0.684279313,-1.02708886,fan,South America,4.563,-73.3485,Colombia,South America,151ea730-cf59-3993-2822-142fbecef3f1,Csb Temperate-Dry_Summer-Warm_Summer
5,1,5,A006,1985,1.860593203,1.467227217,2.044509723,1.671379039,2.446693727,1.298143561,fan,South America,5.1513,-72.5446,Colombia,South America,c192e5df-4a2b-c36c-c448-85513a99548b,ET Polar-Tundra
6,1,6,A009,1991,1.081106108,0.868584728,1.715373994,1.324287244,1.942914251,1.194030555,fan,South America,7.2251,-71.9329,Venezuela,South America,7669d730-1a70-5abd-37c2-bdf0cd794339,BWk Arid-Desert-Cold
7,1,7,A012,2006,0.150554369,0.230844163,0.053622011,0.151648885,0.215602747,0.631117517,fan,South America,7.4123,-68.5536,Venezuela,South America,2b1472a7-3382-b2a9-6914-fb6b93bb6460,Am Tropical-Monsoon
8,1,8,A014,2005,0.403980304,0.419448672,0.303406264,0.353525636,0.817065475,0.884874453,fan,South America,7.0341,-72.0334,Colombia,South America,7669d730-1a70-5abd-37c2-bdf0cd794339,BWk Arid-Desert-Cold
9,1,9,A015,1998,1.382707349,1.017682286,0.98963189,0.872237398,1.672432773,1.118629974,fan,South America,7.0836,-71.9672,Venezuela,South America,7669d730-1a70-5abd-37c2-bdf0cd794339,BWk Arid-Desert-Cold
10,1,10,A016,1995,0.13229267,0.228801809,0.87524003,0.790116157,0.150569276,0.614047494,fan,South America,7.0066,-71.9253,Venezuela,South America,7669d730-1a70-5abd-37c2-bdf0cd794339,BWk Arid-Desert-Cold
