avulsion_year,count,group
1984,17,global
1985,3,global
1986,5,global
1987,6,global
1988,4,global
1989,9,global
1990,9,global
1991,10,global
1992,9,global
1993,8,global
1994,9,global
1995,8,global
1996,5,global
1997,7,global
1998,14,global
1999,6,global
2000,8,global
2001,9,global
2002,13,global
2003,7,global
2004,9,global
2005,7,global
2006,10,global
2007,6,global
2008,8,global
2009,5,global
2010,7,global
2011,11,global
2012,8,global
2013,5,global
2014,5,global
2015,4,global
2016,4,global
2017,3,global
2018,2,global
1984,1,delta
1985,1,delta
1986,2,delta
1987,0,delta
1988,1,delta
1989,4,delta
1990,2,delta
1991,2,delta
1992,1,delta
1993,2,delta
1994,2,delta
1995,2,delta
1996,2,delta
1997,2,delta
1998,3,delta
1999,2,delta
2000,1,delta
2001,3,delta
2002,1,delta
2003,2,delta
2004,3,delta
2005,2,delta
2006,2,delta
2007,4,delta
2008,1,delta
2009,2,delta
2010,3,delta
2011,0,delta
2012,1,delta
2013,1,delta
2014,1,delta
2015,0,delta
2016,1,delta
2017,0,delta
2018,2,delta
1984,0,fan
1985,1,fan
1986,0,fan
1987,3,fan
1988,1,fan
1989,2,fan
1990,3,fan
1991,8,fan
1992,6,fan
1993,2,fan
1994,6,fan
1995,4,fan
1996,2,fan
1997,5,fan
1998,8,fan
1999,4,fan
2000,3,fan
2001,5,fan
2002,8,fan
2003,4,fan
2004,4,fan
2005,3,fan
2006,4,fan
2007,2,fan
2008,5,fan
2009,2,fan
2010,3,fan
2011,8,fan
2012,1,fan
2013,4,fan
2014,1,fan
2015,2,fan
2016,1,fan
2017,1,fan
2018,0,fan
1984,0,intra_lobe
1985,0,intra_lobe
1986,0,intra_lobe
1987,2,intra_lobe
1988,0,intra_lobe
1989,0,intra_lobe
1990,1,intra_lobe
1991,0,intra_lobe
1992,0,intra_lobe
1993,0,intra_lobe
1994,1,intra_lobe
1995,0,intra_lobe
1996,0,intra_lobe
1997,0,intra_lobe
1998,3,intra_lobe
1999,0,intra_lobe
2000,1,intra_lobe
2001,0,intra_lobe
2002,0,intra_lobe
2003,0,intra_lobe
2004,0,intra_lobe
2005,1,intra_lobe
2006,0,intra_lobe
2007,0,intra_lobe
2008,1,intra_lobe
2009,0,intra_lobe
2010,1,intra_lobe
2011,1,intra_lobe
2012,0,intra_lobe
2013,0,intra_lobe
2014,0,intra_lobe
2015,1,intra_lobe
2016,1,intra_lobe
2017,2,intra_lobe
2018,0,intra_lobe
1984,16,retrogradational
1985,1,retrogradational
1986,3,retrogradational
1987,1,retrogradational
1988,2,retrogradational
1989,3,retrogradational
1990,3,retrogradational
1991,0,retrogradational
1992,2,retrogradational
1993,4,retrogradational
1994,0,retrogradational
1995,2,retrogradational
1996,1,retrogradational
1997,0,retrogradational
1998,0,retrogradational
1999,0,retrogradational
2000,3,retrogradational
2001,1,retrogradational
2002,4,retrogradational
2003,1,retrogradational
2004,2,retrogradational
2005,1,retrogradational
2006,4,retrogradational
2007,0,retrogradational
2008,1,retrogradational
2009,1,retrogradational
2010,0,retrogradational
2011,2,retrogradational
2012,6,retrogradational
2013,0,retrogradational
2014,3,retrogradational
2015,1,retrogradational
2016,1,retrogradational
2017,0,retrogradational
2018,0,retrogradational
1984,0,himalaya
1985,0,himalaya
1986,0,himalaya
1987,0,himalaya
1988,0,himalaya
1989,0,himalaya
1990,2,himalaya
1991,0,himalaya
1992,2,himalaya
1993,0,himalaya
1994,1,himalaya
1995,0,himalaya
1996,1,himalaya
1997,1,himalaya
1998,1,himalaya
1999,1,himalaya
2000,1,himalaya
2001,5,himalaya
2002,2,himalaya
2003,2,himalaya
2004,1,himalaya
2005,0,himalaya
2006,3,himalaya
2007,0,himalaya
2008,2,himalaya
2009,0,himalaya
2010,2,himalaya
2011,1,himalaya
2012,0,himalaya
2013,0,himalaya
2014,0,himalaya
2015,0,himalaya
2016,0,himalaya
2017,0,himalaya
2018,0,himalaya
1984,16,south_america
1985,2,south_america
1986,4,south_america
1987,5,south_america
1988,0,south_america
1989,2,south_america
1990,5,south_america
1991,7,south_america
1992,4,south_america
1993,6,south_america
1994,4,south_america
1995,3,south_america
1996,2,south_america
1997,3,south_america
1998,7,south_america
1999,2,south_america
2000,5,south_america
2001,2,south_america
2002,6,south_america
2003,1,south_america
2004,1,south_america
2005,3,south_america
2006,3,south_america
2007,1,south_america
2008,1,south_america
2009,3,south_america
2010,1,south_america
2011,7,south_america
2012,7,south_america
2013,0,south_america
2014,2,south_america
2015,2,south_america
2016,3,south_america
2017,1,south_america
2018,0,south_america
1984,1,pacific_islands
1985,1,pacific_islands
1986,0,pacific_islands
1987,1,pacific_islands
1988,2,pacific_islands
1989,5,pacific_islands
1990,1,pacific_islands
1991,1,pacific_islands
1992,2,pacific_islands
1993,0,pacific_islands
1994,2,pacific_islands
1995,4,pacific_islands
1996,1,pacific_islands
1997,1,pacific_islands
1998,4,pacific_islands
1999,2,pacific_islands
2000,1,pacific_islands
2001,0,pacific_islands
2002,3,pacific_islands
2003,2,pacific_islands
2004,3,pacific_islands
2005,3,pacific_islands
2006,3,pacific_islands
2007,2,pacific_islands
2008,3,pacific_islands
2009,1,pacific_islands
2010,3,pacific_islands
2011,1,pacific_islands
2012,1,pacific_islands
2013,4,pacific_islands
2014,2,pacific_islands
2015,2,pacific_islands
2016,1,pacific_islands
2017,2,pacific_islands
2018,2,pacific_islands
