year,p95_q,mean_q,z_p95_q,zlog_p95_q,z_mean_q,zlog_mean_q,site_name,av_type,site_area,avulsion_start_date
1983,2610.173445,493.63036653846166,0.3103905808242592,0.38307348119480683,0.5570347123767613,0.6284877951857978,BETSIBOKA.2004,fan,Tropical Island,2004
1984,3337.56255,686.756873715847,1.1036331376158526,0.7973271701218485,1.8724572685675736,1.4571078022268502,BETSIBOKA.2004,fan,Tropical Island,2004
1985,1962.3937600000002,349.0439218219178,-0.3960351960191438,-0.09762205506377634,-0.4277719487041408,-0.24127767279816797,BETSIBOKA.2004,fan,Tropical Island,2004
1986,2066.5500000000025,387.6833049178082,-0.2824492740477106,-0.010472975795539217,-0.1645915245123035,0.022197225333453495,BETSIBOKA.2004,fan,Tropical Island,2004
1987,2045.7124600000004,328.3841182328767,-0.30517332008198367,-0.027551143538847103,-0.5684899270111544,-0.39439164247610836,BETSIBOKA.2004,fan,Tropical Island,2004
1988,1652.867225,257.5563523907104,-0.7335844091301137,-0.38688627042330176,-1.050911745512807,-1.004063174642516,BETSIBOKA.2004,fan,Tropical Island,2004
1989,2405.6125,378.95355371232876,0.08730991338491909,0.2455437408620452,-0.22405157385226407,-0.03495696029849477,BETSIBOKA.2004,fan,Tropical Island,2004
1990,1496.1468600000007,246.59640305479454,-0.9044932970683116,-0.5547596043957526,-1.1255621121656372,-1.1131901024776911,BETSIBOKA.2004,fan,Tropical Island,2004
1991,2195.125040000002,419.6588399506849,-0.14223382021687386,0.09124087472224297,0.05320012223395361,0.22108337071011408,BETSIBOKA.2004,fan,Tropical Island,2004
1992,2422.3320000000003,382.7047894262295,0.10554309674869405,0.2572154562627306,-0.1985011709387927,-0.01023774044042586,BETSIBOKA.2004,fan,Tropical Island,2004
1993,1922.9,364.7298795342466,-0.43910448444313466,-0.13188238312306663,-0.3209318111599939,-0.13096193778008683,BETSIBOKA.2004,fan,Tropical Island,2004
1994,3236.71246,555.0499994246576,0.9936526846583364,0.7456219455405324,0.9753758902517049,0.9227798241573512,BETSIBOKA.2004,fan,Tropical Island,2004
1995,2654.2344000000007,404.1048370273972,0.35844055072156744,0.41128240099005575,-0.052741245335843887,0.12630521470896314,BETSIBOKA.2004,fan,Tropical Island,2004
1996,2816.6405999999997,480.5042258879781,0.5355500350969294,0.5113619569651313,0.4676299914001627,0.5608543559787897,BETSIBOKA.2004,fan,Tropical Island,2004
1997,2104.175000000001,521.4585838013699,-0.24141793195841352,0.019932280711406337,0.7465781635643591,0.7661159278976901,BETSIBOKA.2004,fan,Tropical Island,2004
1998,2667.4406200000003,495.23873955890406,0.3728423827621393,0.4196461887962425,0.5679896567848607,0.6366510894385089,BETSIBOKA.2004,fan,Tropical Island,2004
1999,856.7687500000001,142.72270977397258,-1.6017568706449008,-1.4942047956261635,-1.8330662302354492,-2.4855082352623468,BETSIBOKA.2004,fan,Tropical Island,2004
2000,2256.8867499999997,351.5149423360656,-0.0748805750067756,0.13799961532750377,-0.41094134285605444,-0.22357452002198155,BETSIBOKA.2004,fan,Tropical Island,2004
2001,2180.3406600000008,272.7775264109589,-0.15835668940911948,0.07985274456207646,-0.9472373409446648,-0.8599727336052013,BETSIBOKA.2004,fan,Tropical Island,2004
2002,1536.3749599999999,339.69841434246575,-0.8606231859001395,-0.5100477172883001,-0.4914260349152578,-0.3093843768554049,BETSIBOKA.2004,fan,Tropical Island,2004
2003,3324.1593600000037,532.9599088013699,1.0890165030915278,0.7905461630504792,0.8249159461515283,0.8208640446118042,BETSIBOKA.2004,fan,Tropical Island,2004
2004,3503.124975,633.216080771858,1.2841845926938282,0.8789137602657255,1.5077804163622122,1.2534152206570155,BETSIBOKA.2004,fan,Tropical Island,2004
2005,2231.318720000002,365.05121943150687,-0.10276338126536298,0.11879961787458686,-0.3187431020322928,-0.12875195359749483,BETSIBOKA.2004,fan,Tropical Island,2004
2006,992.081250000001,180.62142604794522,-1.454193987549665,-1.2470975954015477,-1.5749306331800437,-1.8945220799882956,BETSIBOKA.2004,fan,Tropical Island,2004
2007,4155.140620000001,572.0516894835616,1.9952298279780718,1.1665556841679865,1.091177739121192,0.9984943200434135,BETSIBOKA.2004,fan,Tropical Island,2004
2008,2202.2343499999997,525.7450286202185,-0.13448087588122548,0.09668976177248169,0.7757739807672344,0.7866599573477014,BETSIBOKA.2004,fan,Tropical Island,2004
2009,2673.7687600000004,453.79747342465754,0.379743434645966,0.4236392743510892,0.28572505713555046,0.4173485845881493,BETSIBOKA.2004,fan,Tropical Island,2004
2010,1797.9000400000002,366.6264774315069,-0.5754211919490118,-0.2451508294837657,-0.3080137105297746,-0.11794633471449466,BETSIBOKA.2004,fan,Tropical Island,2004
2011,2456.69376,421.4250864424657,0.14301576463840476,0.28095221448356833,0.06523037385004778,0.23162310628114113,BETSIBOKA.2004,fan,Tropical Island,2004
2012,2234.0117,493.90074297540974,-0.09982659498976015,0.12083221597991325,0.5588762993708104,0.6298619484173795,BETSIBOKA.2004,fan,Tropical Island,2004
2013,2135.337460000002,331.9663942054795,-0.20743420952375252,0.044706248942597074,-0.5440903420668981,-0.3671642608164397,BETSIBOKA.2004,fan,Tropical Island,2004
2014,2750.3062000000027,421.9584329589041,0.4632101159291356,0.4712000591799648,0.06886310168343854,0.23479706671383163,BETSIBOKA.2004,fan,Tropical Island,2004
2015,5381.10316,853.7799018630136,3.3321836716300393,1.6022497676092642,3.0100839042850502,2.0034085147828358,BETSIBOKA.2004,fan,Tropical Island,2004
2016,1734.4336250000001,322.1726636338798,-0.6446334759369557,-0.3057129291085572,-0.610797363756598,-0.4423140250768784,BETSIBOKA.2004,fan,Tropical Island,2004
2017,1506.5844000000002,296.6971314452055,-0.8931108047278274,-0.5430442515502021,-0.7843162150097175,-0.6490359614130216,BETSIBOKA.2004,fan,Tropical Island,2004
2018,2419.4687200000003,486.8779967671233,0.10242059253135324,0.25522235714818603,0.5110429961966452,0.5939234066651299,BETSIBOKA.2004,fan,Tropical Island,2004
2019,120.765625,120.765625,-2.4043933092008545,-4.795972430083765,-1.9826202453833994,-2.9047250634808255,BETSIBOKA.2004,fan,Tropical Island,2004
