year,month,day,precip,latitude,longitude,site_name,site_area,av_type,avulsion_start_date,date
1981,1,1,12.535563,26.875,92.475006,JA.25.India.1990,Asia,fan,1990,1981-01-01
1981,2,1,24.33677,26.875,92.475006,JA.25.India.1990,Asia,fan,1990,1981-02-01
1981,3,1,97.28854,26.875,92.475006,JA.25.India.1990,Asia,fan,1990,1981-03-01
1981,4,1,87.812126,26.875,92.475006,JA.25.India.1990,Asia,fan,1990,1981-04-01
1981,5,1,333.2412,26.875,92.475006,JA.25.India.1990,Asia,fan,1990,1981-05-01
1981,6,1,409.73285,26.875,92.475006,JA.25.India.1990,Asia,fan,1990,1981-06-01
1981,7,1,537.74414,26.875,92.475006,JA.25.India.1990,Asia,fan,1990,1981-07-01
1981,8,1,255.03076,26.875,92.475006,JA.25.India.1990,Asia,fan,1990,1981-08-01
1981,9,1,262.68393,26.875,92.475006,JA.25.India.1990,Asia,fan,1990,1981-09-01
1981,10,1,25.11485,26.875,92.475006,JA.25.India.1990,Asia,fan,1990,1981-10-01
1981,11,1,18.136747,26.875,92.475006,JA.25.India.1990,Asia,fan,1990,1981-11-01
1981,12,1,10.742066,26.875,92.475006,JA.25.India.1990,Asia,fan,1990,1981-12-01
1982,1,1,4.3764663,26.875,92.475006,JA.25.India.1990,Asia,fan,1990,1982-01-01
1982,2,1,12.462974,26.875,92.475006,JA.25.India.1990,Asia,fan,1990,1982-02-01
1982,3,1,23.828632,26.875,92.475006,JA.25.India.1990,Asia,fan,1990,1982-03-01
1982,4,1,125.630684,26.875,92.475006,JA.25.India.1990,Asia,fan,1990,1982-04-01
1982,5,1,388.81616,26.875,92.475006,JA.25.India.1990,Asia,fan,1990,1982-05-01
1982,6,1,514.2666,26.875,92.475006,JA.25.India.1990,Asia,fan,1990,1982-06-01
1982,7,1,282.35413,26.875,92.475006,JA.25.India.1990,Asia,fan,1990,1982-07-01
1982,8,1,336.75507,26.875,92.475006,JA.25.India.1990,Asia,fan,1990,1982-08-01
1982,9,1,226.73364,26.875,92.475006,JA.25.India.1990,Asia,fan,1990,1982-09-01
1982,10,1,44.070213,26.875,92.475006,JA.25.India.1990,Asia,fan,1990,1982-10-01
1982,11,1,25.044342,26.875,92.475006,JA.25.India.1990,Asia,fan,1990,1982-11-01
1982,12,1,5.843935,26.875,92.475006,JA.25.India.1990,Asia,fan,1990,1982-12-01
1983,1,1,10.496374,26.875,92.475006,JA.25.India.1990,Asia,fan,1990,1983-01-01
1983,2,1,18.431953,26.875,92.475006,JA.25.India.1990,Asia,fan,1990,1983-02-01
1983,3,1,32.74375,26.875,92.475006,JA.25.India.1990,Asia,fan,1990,1983-03-01
1983,4,1,95.07205,26.875,92.475006,JA.25.India.1990,Asia,fan,1990,1983-04-01
1983,5,1,264.2363,26.875,92.475006,JA.25.India.1990,Asia,fan,1990,1983-05-01
1983,6,1,428.49725,26.875,92.475006,JA.25.India.1990,Asia,fan,1990,1983-06-01
1983,7,1,366.05255,26.875,92.475006,JA.25.India.1990,Asia,fan,1990,1983-07-01
1983,8,1,302.0976,26.875,92.475006,JA.25.India.1990,Asia,fan,1990,1983-08-01
1983,9,1,179.20609,26.875,92.475006,JA.25.India.1990,Asia,fan,1990,1983-09-01
1983,10,1,219.7383,26.875,92.475006,JA.25.India.1990,Asia,fan,1990,1983-10-01
1983,11,1,9.0209,26.875,92.475006,JA.25.India.1990,Asia,fan,1990,1983-11-01
1983,12,1,9.196474,26.875,92.475006,JA.25.India.1990,Asia,fan,1990,1983-12-01
1984,1,1,23.733032,26.875,92.475006,JA.25.India.1990,Asia,fan,1990,1984-01-01
1984,2,1,10.1992,26.875,92.475006,JA.25.India.1990,Asia,fan,1990,1984-02-01
1984,3,1,38.813293,26.875,92.475006,JA.25.India.1990,Asia,fan,1990,1984-03-01
1984,4,1,65.23232,26.875,92.475006,JA.25.India.1990,Asia,fan,1990,1984-04-01
1984,5,1,283.06305,26.875,92.475006,JA.25.India.1990,Asia,fan,1990,1984-05-01
1984,6,1,424.15942,26.875,92.475006,JA.25.India.1990,Asia,fan,1990,1984-06-01
1984,7,1,234.15579,26.875,92.475006,JA.25.India.1990,Asia,fan,1990,1984-07-01
1984,8,1,299.1781,26.875,92.475006,JA.25.India.1990,Asia,fan,1990,1984-08-01
1984,9,1,653.3126,26.875,92.475006,JA.25.India.1990,Asia,fan,1990,1984-09-01
1984,10,1,41.64183,26.875,92.475006,JA.25.India.1990,Asia,fan,1990,1984-10-01
1984,11,1,12.647167,26.875,92.475006,JA.25.India.1990,Asia,fan,1990,1984-11-01
1984,12,1,7.862013,26.875,92.475006,JA.25.India.1990,Asia,fan,1990,1984-12-01
1985,1,1,6.1159463,26.875,92.475006,JA.25.India.1990,Asia,fan,1990,1985-01-01
1985,2,1,18.550554,26.875,92.475006,JA.25.India.1990,Asia,fan,1990,1985-02-01
1985,3,1,76.295,26.875,92.475006,JA.25.India.1990,Asia,fan,1990,1985-03-01
1985,4,1,41.51043,26.875,92.475006,JA.25.India.1990,Asia,fan,1990,1985-04-01
1985,5,1,330.1821,26.875,92.475006,JA.25.India.1990,Asia,fan,1990,1985-05-01
1985,6,1,618.3962,26.875,92.475006,JA.25.India.1990,Asia,fan,1990,1985-06-01
1985,7,1,661.6808,26.875,92.475006,JA.25.India.1990,Asia,fan,1990,1985-07-01
1985,8,1,284.90027,26.875,92.475006,JA.25.India.1990,Asia,fan,1990,1985-08-01
1985,9,1,301.94272,26.875,92.475006,JA.25.India.1990,Asia,fan,1990,1985-09-01
1985,10,1,73.50784,26.875,92.475006,JA.25.India.1990,Asia,fan,1990,1985-10-01
1985,11,1,10.522807,26.875,92.475006,JA.25.India.1990,Asia,fan,1990,1985-11-01
1985,12,1,11.671616,26.875,92.475006,JA.25.India.1990,Asia,fan,1990,1985-12-01
1986,1,1,6.074688,26.875,92.475006,JA.25.India.1990,Asia,fan,1990,1986-01-01
