site_name,avulsion_year,p95_zscore,p95_mean,p95_std,p95_avulsion_window,global_mean,global_p95,av_type,site_area
A001,1987,1.3135162742111335,439.6085648999999,55.29070368284324,512.233804,233.83933081457943,483.4540179999999,fan,South America
A002,1987,-1.1581711726482224,684.4182449666665,95.48590923205123,573.8292175,412.6415566560748,755.2253319999995,fan,South America
A004,2002,-0.3826629136711243,457.08778666666655,47.989431456765324,438.724011,253.10254548542053,484.093661,fan,South America
A005,1993,-0.5327785713059447,599.1346600444444,62.1589274194499,566.0177155,347.6664259214953,641.5852,fan,South America
A006,1985,0.20264036871218766,456.4667522333333,66.15514397186561,469.872455,241.78384340672898,484.0173599999999,fan,South America
A009,1991,0.5857018274163549,603.5078829222222,69.95955989846989,644.4833249999999,339.023186788785,649.036798,fan,South America
A012,2006,-0.26678597729223347,308.2213848333333,41.66585495292769,297.105519,133.44012727188783,333.856354,fan,South America
A014,2005,0.3790856053893727,788.6144146888889,93.44126579200343,824.0366534999998,448.93307691775703,832.1887559999999,fan,South America
A015,1998,-0.41405516683241256,739.7890873888889,88.13223167351212,703.2974815,423.5777346,779.4395999999999,fan,South America
A016,1995,-0.4104477948493996,661.3957873333333,71.49385062258744,632.0512939999999,374.82211166915886,710.1751529999999,fan,South America
A017,1991,-0.08112518660247832,612.0145902666666,68.25789250631426,606.4771559999999,343.42394629719627,649.6240899999999,fan,South America
A018,1997,0.607146177120618,634.076955,87.3955679860245,687.1388399999998,375.74363123551404,692.2728399999999,fan,South America
A020,1989,0.3772404954105843,332.2631362222222,43.50859591548824,348.6763404999999,170.93585815140187,357.0089979999999,fan,South America
A022,1992,0.7630729091052445,395.63229079999996,70.12776703440696,449.14488999999975,181.42471718280373,425.3738619999999,fan,South America
A023,1999,-0.2028596646036131,395.63229079999996,70.12776703440696,381.40619549999985,181.42471718280373,425.3738619999999,fan,South America
A024,1998,-0.20604869163897907,594.8525984888888,111.01105669220244,571.9789155,266.0892366794393,633.5691879999998,fan,South America
A025,1991,-0.44099968168697495,448.40254601111104,94.50293331661175,406.72678249999984,202.95455309850468,502.420601,fan,South America
A026,2002,0.03616655070190084,559.0007716333332,106.34932809516096,562.8470599999999,271.1403049439253,619.4900299999998,fan,South America
A027,1991,0.41824234787899617,414.91637476666654,72.41585742555151,445.20375299999984,200.25920905850467,448.5944949999997,fan,South America
A028,1993,0.9802414277652719,388.57086781111116,76.22303656276449,463.28784599999994,186.24152673626168,431.739866,fan,South America
A030,2002,0.031993334273715875,414.91637476666654,72.41585742555151,417.23319949999996,200.25920905850467,448.5944949999997,fan,South America
A035,1994,-0.42941514610966713,491.869951311111,93.71368517316739,451.62787549999996,246.20940296261682,551.6709699999998,fan,South America
A037,1990,-0.548872516576849,466.43304592222216,83.77990523011346,420.4485584999999,221.87868126925233,510.2617979999998,fan,South America
A042,1995,0.20337616074101866,747.6947887999999,133.40837294372093,774.8268714999998,345.3456035943925,821.4904599999998,fan,South America
A044,1991,0.2048617969458749,263.2436926388889,59.66843522484865,275.4674754999999,95.77879828882243,286.01361599999996,fan,South America
A045,1992,0.5666286681796179,191.7717088066666,46.276344043046805,217.993212,97.11026005551402,217.2358399999999,fan,South America
A047,2002,-0.789051539960076,465.6402566444444,87.02978850775587,396.9692679999999,242.6317127906542,504.35320099999996,fan,South America
A048,2000,-0.3939231825140155,664.9386206555554,127.15461511020173,614.84947,292.86567040280374,723.1167619999999,fan,South America
A049,1992,0.8223520166584879,198.13637229999995,45.80750267150359,235.8062645,100.77061953233645,221.39250099999995,fan,South America
A050,1987,1.1522430749248016,414.91637476666654,72.41585742555151,498.357045,200.25920905850467,448.5944949999997,fan,South America
A051,1998,-0.37534676579770626,465.6402566444444,87.02978850775587,432.9739069999998,242.6317127906542,504.35320099999996,fan,South America
AFR0211.1998,1998,0.22284445153520593,105.91413157777772,45.099233357553466,115.96424549999999,27.337676192835698,135.76122799999976,delta,Africa
ANGO2.2003,2003,-0.3490634332834038,71.89612819666664,36.051264030425045,59.31195019999999,19.833572379871026,79.644061,delta,Africa
ARG.001.2001,2001,1.2176769737448354,220.36077646222216,47.14212124849356,277.7646519999999,86.31432591040374,238.940663,delta,South America
B1.a,1994,-1.0847191549957556,191.7717088066666,46.276344043046805,141.574872,97.11026005551402,217.2358399999999,fan,South America
B1.b,1989,-0.25235483805297054,191.7717088066666,46.276344043046805,180.09364949999997,97.11026005551402,217.2358399999999,fan,South America
B1.c,1988,0.4612770333256406,191.7717088066666,46.276344043046805,213.1179234999999,97.11026005551402,217.2358399999999,fan,South America
B1.d,1989,-0.25235483805297054,191.7717088066666,46.276344043046805,180.09364949999997,97.11026005551402,217.2358399999999,fan,South America
B10,1987,0.8451774950748308,491.869951311111,93.71368517316739,571.0746489999999,246.20940296261682,551.6709699999998,intra-lobe,South America
B10.av.b,2012,0.500080192154341,491.869951311111,93.71368517316739,538.7343089999999,246.20940296261682,551.6709699999998,intra-lobe,South America
B10.av.c,2012,0.500080192154341,491.869951311111,93.71368517316739,538.7343089999999,246.20940296261682,551.6709699999998,intra-lobe,South America
B10.p.a,2017,-0.11048080962753228,491.869951311111,93.71368517316739,481.5163874999998,246.20940296261682,551.6709699999998,intra-lobe,South America
B10.p.b,2017,-0.11048080962753228,491.869951311111,93.71368517316739,481.5163874999998,246.20940296261682,551.6709699999998,intra-lobe,South America
B11,1994,-0.34376903189652736,594.8525984888888,111.01105669220244,556.6904349999999,266.0892366794393,633.5691879999998,intra-lobe,South America
B12.av.a,2003,-1.127312605781142,448.40254601111104,94.50293331661175,341.86819799999995,202.95455309850468,502.420601,intra-lobe,South America
B12.a ,1987,0.7771712465562038,448.40254601111104,94.50293331661175,521.8475085,202.95455309850468,502.420601,intra-lobe,South America
B12.b,1990,1.098403968489749,448.40254601111104,94.50293331661175,552.2049429999995,202.95455309850468,502.420601,intra-lobe,South America
B12.p.a,2016,1.2000932987860269,448.40254601111104,94.50293331661175,561.8148829999996,202.95455309850468,502.420601,intra-lobe,South America
B13,2010,-0.28865457515663306,395.63229079999996,70.12776703440696,375.3895899999999,181.42471718280373,425.3738619999999,intra-lobe,South America
B14,1990,-0.25625880146975366,332.01858651111104,66.29164506225224,315.03076899999996,161.6406246271028,376.87264799999997,intra-lobe,South America
B15,2017,-0.20957226533202813,263.2436926388889,59.66843522484865,250.73884349999997,95.77879828882243,286.01361599999996,fan,South America
B2,2011,-0.6095571549796842,388.57086781111116,76.22303656276449,342.1085705,186.24152673626168,431.739866,intra-lobe,South America
B3,2011,-1.2557013684489151,414.91637476666654,72.41585742555151,323.9836835,200.25920905850467,448.5944949999997,fan,South America
B4,2016,-0.7661780670623797,559.0007716333332,106.34932809516096,477.51824899999997,271.1403049439253,619.4900299999998,fan,South America
B6,2017,-1.0324494389726597,747.6947887999999,133.40837294372093,609.9573889999998,345.3456035943925,821.4904599999998,fan,South America
B7,2011,0.0074379387980371345,697.6492147666667,130.74996443770695,698.6217249999999,295.1333387065421,785.1196219999998,intra-lobe,South America
B8,2011,-0.10652500717761554,680.5535093222221,123.01502876571286,667.4493325,289.366195106542,742.2794949999998,intra-lobe,South America
B9.a,2015,0.6130044534906594,664.9386206555554,127.15461511020173,742.8849659999997,292.86567040280374,723.1167619999999,intra-lobe,South America
