Avulsion Name,source,geometry,num_icesat_measurements,num_fabdem_measurements,method_used,dist_mtn_front_to_avulsion_m,total_transport_distance_m,normalized_distance,geomorphology,sar1,sar2,sar3,sar_mean,sar1_distance_m,sar2_distance_m,sar3_distance_m,sm1,sm2,sm3,are1_m,fpe1_m,wse1_m,are2_m,fpe2_m,wse2_m,are3_m,fpe3_m,wse3_m,width_m,discharge_min_cms,discharge_mean_cms,discharge_max_cms,se_1,se_2,se_3,se_std,sm_mean,gamma,spr,gamma_error_upper,gamma_error_lower,corrected_discharge,xgb_depth,har1_m,har2_m,har3_m,a,b,a1,b1,a2,b2,a3,b3,a_over_b,beta,beta_sem,lambda,ab_flag,beta_uncertainty,sar_mean_error,sm_mean_error,log_gamma,log_sar_mean_SE,log_sm_mean_SE,log_gamma_error,yerr_upper_relative,yerr_lower_relative,se_max1,se_max2,se_max3
A002,edmonds et. al. 2016,POINT (-73.76116 4.04425),0,3,3,1200,1787150,0.00067146,Fan,0.018,0.0018,0.001,0.012333333,500,6666.666667,12000,0.00813,0.00791,0.00821,519,510,511,515,503,507,512,500,504,700,47.718,146.909,240.381,1.102763034,1.470350712,1.470350712,0.212226845,0.008083333,1.525773196,0.083067216,0.865145285,0.552095564,1199.02663,0.16131818,9,12,12,8,0.16131818,8,0.16131818,8,0.16131818,8,0.16131818,49.59143386,1.347821486,0.040843075,2.056469896,TRUE,0.189041345,0.005538151,8.97E-05,0.422501295,0.449039231,0.011095772,0.449176298,0.567020896,0.552095564,1.102763034,1.470350712,1.470350712
A004,edmonds et. al. 2016,POINT (-73.394282 3.976931),1,2,3,42892,1792545,0.023927991,Fan,0.002,0.00055,0.00102,0.001673333,1900,15454.54545,6078.431373,0.005,0.00315,0.00392,306.6,302.8,304.4,275.5,267,273.5,266.2,260,264.2,850,56,188.5,318,0.387096774,0.516129032,0.838709677,1.199183209,0.004023333,0.415907208,5.947305137,0.138806291,0.104072709,1624.992022,0.1,3.8,8.5,6.2,2.066666667,0.1,2.2,0.1,2,0.1,2,0.1,20.66666636,2.884057969,0.230782916,1.199500497,TRUE,0.229472558,0.000427122,0.000536542,-0.877293101,0.255252282,0.133357687,0.287989584,0.333743412,0.104072709,1.652173912,4.047619045,2.95238095
A012,edmonds et. al. 2016,POINT (-72.03524 7.49524),2,1,1,458588,1448956,0.316495463,Alluvial Plain,0.005,0.006,0.00885,0.006283333,460,598.3333333,225.9887006,0.00026,0.00047,0.00018,56.8,54.5,54.2,67.29,63.7,65.69,65.6,63.6,63,130,297.4,631.1,915.058,0.210492521,0.155581429,0.183036975,0.07731552,0.000303333,20.71428571,1043.391636,8.361003949,5.956680971,5122.891523,10.926754,2.3,3.59,2,2.266666667,10.926754,2.6,10.926754,1.6,10.926754,2.6,10.926754,0.207441905,0.240693622,0.014879379,4.985796462,FALSE,0.032286384,0.001153377,8.65E-05,3.030823593,0.183561276,0.285079599,0.339065068,0.403634673,5.956680971,0.210492521,0.32855137,0.183036975
A018,edmonds et. al. 2016,POINT (-73.834088 3.761262),0,3,2,9827,2261252.155,0.004345822,Fan,0.007,0.006,0.00215,0.005383333,285.7142857,333.3333333,1395.348837,0.01,0.01034,0.01121,528,526,526,534,532,532,524,521,522,300,17,56,97,1,1,1.5,0.288675135,0.010516667,0.511885895,0.413231886,0.163217716,0.123757073,447.3653637,1.4197252,2,2,3,2,1.4197251,2,1.4197252,2,1.4197252,2,1.4197252,1.40872346,1.166666667,0.055555556,0.597200211,TRUE,0.274580135,0.001478456,0.000360293,-0.669653539,0.274635864,0.034259248,0.276764438,0.318855662,0.123757073,1,1,1.5
AFR0211_1998,brooke et. al. 2022,POINT (13.4899897969271 -12.4504207595308),2,1,1,7304,9426,0.774877997,Delta,0.0033,0.00452,0.00119,0.002596667,727.2727273,530.9734513,1100.840336,0.00118,0.00131,0.0011,28.5,26.1,25.75,28.4,26,25.75,7.04,5.73,4.39,72,25.24,215.65,611,0.255141726,0.218692908,0.063785432,0.057344178,0.001196667,2.169916435,647.5303596,0.99695802,0.683107468,3303.383965,10.974293,2.4,2.4,1.31,2.683333333,10.974293,2.75,10.974293,2.65,10.974293,2.65,10.974293,0.244510821,0.185585232,0.011035892,0.402704445,FALSE,0.086231543,0.000972665,6.12E-05,0.774688657,0.374582271,0.051135264,0.378056468,0.459445352,0.683107468,0.218692908,0.218692908,0.119369879
ANGO2_2003,brooke et. al. 2022,POINT (13.078039097642 -12.8841118948639),0,3,3,12690,30020,0.422718188,Delta,0.0033,0.0024,0.0017,0.002766667,896.969697,1266.666667,1870.588235,0.0042,0.00163,0.00212,30.45,27.49,28.3,34.74,31.7,32.5,31.98,28.8,30,395,14,106,415,1.006359372,0.902474892,1.021158775,0.069475821,0.00265,1.044025157,159.5162974,0.424485189,0.301784198,2169.989196,1.1285148,2.96,3.04,3.18,2.123333333,1.1285148,2.15,1.1285148,2.24,1.1285148,1.98,1.1285148,1.881529065,0.942773109,0.013370628,0.984278843,TRUE,0.15875377,0.000463081,0.000787803,0.043083586,0.167378843,0.297284095,0.341164931,0.406585212,0.301784198,0.902847847,0.902474892,1.022996588
ARG_001_2001,brooke et. al. 2022,POINT (-65.1122559275333 -27.4264093313781),2,1,1,85812,104580,0.8205393,Delta,0.00402,0.0026,0.00442,0.004153333,895.5223881,861.5384615,791.8552036,0.00056,0.00052,0.00058,306.6,303,304.2,306.9,304.66,304.9,282,278.5,280.25,250,17.2,89.3,248.6,0.735319053,0.674042466,0.857872229,0.185785656,0.000553333,7.506024096,1482.902349,1.099712963,0.959182455,1243.628881,4.0798616,3.6,2.24,3.5,2.05,4.0798616,2.4,4.0798616,2,4.0798616,1.75,4.0798616,0.50246802,0.763097773,0.035754466,5.727830274,FALSE,0.128080156,0.000552208,1.76E-05,2.015705911,0.132955303,0.031876522,0.13672317,0.146510716,0.959182455,0.882382864,0.549038227,0.857872229
B1,valenza et. al. 2020,POINT (-62.9795 -17.0815),1,2,2,272652,3803124.369,0.071691581,Fan,0.0016,0.00119,0.0014,0.001533333,1926.224313,4621.848739,5535.714286,0.00048,0.00037,0.00041,272.1743051,269.0923462,267.3,251.5,246,246.8,255.75,248,251.04,400,40.911,155.44,399.59,0.632286826,1.170212766,1.645435244,0.506897498,0.00042,3.650793651,170.6942405,0.419242109,0.376057244,2082.595103,3.4464846,3.0819589,5.5,7.75,4.761435033,3.4464846,4.8743051,3.4464846,4.7,3.4464846,4.71,3.4464846,1.381533833,1.149311612,0.097552469,4.195899536,TRUE,0.41883296,0.000118369,3.21E-05,1.294944583,0.077196873,0.076536911,0.108707203,0.114835882,0.376057244,0.632286826,1.170212766,1.645435244
B10,valenza et. al. 2020,POINT (-65.2038 -16.2728),0,3,1,99648,3322367.305,0.029993071,Alluvial Plain,0.0029,0.00812,0.0018,0.002533333,1379.310345,849.7536946,3594.444444,0.00019,0.00023,0.0005,184,180,179,188.4,181.5,183.4,186.47,180,181.47,164,68.798,432.547,1002.5,0.354534792,0.611572516,0.573460026,0.138713861,0.000306667,8.260869565,97.80349239,10.72948467,4.667362824,5656.841074,11.282391,4,6.9,6.47,5,11.282391,5,11.282391,5,11.282391,5,11.282391,0.44316849,0.513189111,0.026695495,4.239388309,FALSE,0.117547126,0.00194937,9.74E-05,2.111529856,0.769488264,0.317458301,0.832401322,1.298832355,4.667362824,0.354534792,0.611572516,0.573460026
B12,valenza et. al. 2020,POINT (-65.859 -15.879),2,1,3,54520,3327891,0.016382748,Alluvial Plain,0.0044,0.0025,0.00736,0.005386667,1000,2120,1603.26087,0.00031,0.00027,0.00053,219,214.6,211.3,217,211.7,209.2,203.8,192,195.8,173,16,104,250,0.725251697,0.850026182,0.920211831,0.310549571,0.00037,14.55855856,44.2776973,5.926498143,4.211912689,1251.239115,4.8231344,4.4,5.3,11.8,7.833333333,4.8231344,7.7,4.8231344,7.8,4.8231344,8,4.8231344,1.624116736,0.563808531,0.059765293,8.208239507,TRUE,0.087157795,0.001414041,8.08E-05,2.678179038,0.262507556,0.218456859,0.341516641,0.407080009,4.211912689,0.351349738,0.419864023,0.920211831
