site_name,avulsion_year,z_p95_q,zlog_p95_q,z_mean_q,zlog_mean_q,z_flood_dur,zlog_flood_dur,av_type,site_area
A001,1987,2.143494914990333,1.4430764364027628,2.5072799030990995,1.9047148808585301,1.7112810846965645,1.054451390004131,fan,South America
A002,1987,1.202725767649178,1.1881987566595984,1.715324185109976,1.5052909871205962,1.9169005302240127,1.310027182457991,fan,South America
A004,2002,-0.726015618,-0.664092723,-0.87646736,-0.903622688,-0.752033952,-1.162990766,fan,South America
A005,1993,-0.24947758,-0.008428693,0.086259446,0.3539034077530569,-0.684279313,-1.02708886,fan,South America
A006,1985,1.8605932030288717,1.4672272171576428,2.044509723355569,1.671379039124331,2.4466937269150897,1.298143561282154,fan,South America
A009,1991,1.0811061077182293,0.8685847280130239,1.715373994,1.324287244025539,1.9429142505622239,1.1940305553186403,fan,South America
A012,2006,0.1505543690022731,0.2308441630359324,0.053622011,0.1516488854629631,0.21560274722983133,0.631117517,fan,South America
A014,2005,0.4039803040200709,0.4194486723436033,0.30340626404185134,0.3535256358830117,0.8170654750099786,0.8848744526937905,fan,South America
A015,1998,1.3827073494337034,1.0176822861337578,0.9896318898894886,0.8722373975981036,1.6724327733819246,1.1186299736009808,fan,South America
A016,1995,0.13229267047009619,0.22880180904690844,0.87524003,0.7901161573336248,0.15056927647698917,0.6140474935941819,fan,South America
A017,1991,1.4589105866167782,1.0581818457985068,2.1817919229194183,1.641126267449925,2.4226834785737927,1.2770479220837454,fan,South America
A018,1997,-0.632012175,-0.570680858,-0.342680598,-0.189422483,-0.706795129,-0.451397216,fan,South America
A020,1989,0.9230363664197772,0.7422400662432628,0.7747542996587505,0.6974706182675847,1.055299365708413,0.9759341823080209,fan,South America
A022,1992,0.5201958838454344,0.6814246872297367,1.8185506208930782,1.7143424545346373,1.8741117018210651,1.1090473638788978,fan,South America
A023,1999,-0.315085175,-0.25715652,0.056206507,0.1625642981591855,-0.368679768,0.24227887835017678,fan,South America
A024,1998,-0.46146075,-0.448821654,-0.004013751,0.098067567,-0.746699285,-0.221479956,fan,South America
A025,1991,0.6055219379095184,0.7661833046102798,1.144053341655016,1.179373363589099,1.8745058609272696,1.104437706135923,fan,South America
A026,2002,-0.734381184,-0.73907462,-0.7885376,-0.769954794,-0.74541375,-0.41163747,fan,South America
A027,1991,1.090438387538907,1.1238589633174842,1.3243910731188662,1.2838280299574307,1.2481585586358899,1.1099164762315725,fan,South America
A028,1993,0.3120499557071459,0.46326202607095834,1.992414510852297,1.7256186739205843,1.7708887407229466,1.1755527697707289,fan,South America
A030,2002,-0.857114274,-0.88611075,-0.551398086,-0.488357812,-0.84560974,-1.221468845,fan,South America
A035,1994,-0.254420249,-0.192540223,-0.174501826,-0.116418162,-0.123434206,0.4637983814873233,fan,South America
A037,1990,-0.088603144,0.049029374,-0.07153659,0.026445682770825953,-0.184508842,0.49275518261344503,fan,South America
A042,1995,1.3760811314863173,1.4331935782650254,1.2015591842478395,1.227619029297782,1.9581851668482844,1.2010859218155303,fan,South America
A044,1991,2.367795519828373,1.814339484532795,2.3669726320321525,1.9516913750764584,2.5574149319818282,1.296569798438252,fan,South America
A045,1992,1.1114455045515979,1.1165459858301605,1.1754245257000466,1.1396864594743827,1.8607748041421737,1.1226285029978422,fan,South America
A047,2002,-0.511625105,-0.330377528,-0.729705802,-0.592401988,-0.955868695,-1.318785064,fan,South America
A048,2000,-0.714352804,-0.77516815,-0.448429899,-0.405423036,-0.793657676,-0.381881692,fan,South America
A049,1992,1.1123691497452832,1.116613510152711,1.1761489990689786,1.1399930200301474,1.8555662352001832,1.1184005899594036,fan,South America
A050,1987,-0.743781643,-0.729466965,-0.934437681,-0.953925299,-0.864977825,-1.209044686,fan,South America
A051,1998,0.020897388,0.1836687257722666,-0.353398737,-0.200012533,-0.014958822,0.49063516262214113,fan,South America
AFR0211.1998,1998,0.22294059396979832,0.4170534711631503,0.054504652,0.23141213058521928,-0.170299263,0.4521011835529027,delta,Africa
ANGO2.2003,2003,0.2457406810933031,0.4552810353242848,0.8287776047057708,0.9366637647269024,0.9502487307934722,0.9426818006368808,delta,Africa
ARG.001.2001,2001,1.2326934693418061,1.0838963362657672,1.5168371583847764,1.3618654607405025,1.5418480469057678,1.036062193889768,delta,South America
B1,1994,0.19586915156906795,0.31425229992692705,0.35327027082389895,0.43883024652976405,0.6470963661840573,0.8202263774792894,fan,South America
B10,1987,-0.057071615,0.036434465,0.5769242393992434,0.6527765700965666,-0.259358777,0.3616628230309514,intra-lobe,South America
B11,2011,0.076250402,0.21011954230489088,-0.818311013,-0.853522871,0.5703073987486343,0.7646767616592433,intra-lobe,South America
B12,1987,-0.393846846,-0.354373757,-0.335460682,-0.262547359,-0.61645368,-0.011047792,intra-lobe,South America
