site_name,avulsion_year,p95_zscore,p95_mean,p95_std,p95_avulsion_window,global_mean,global_p95,av_type,site_lat,site_lon,site_area
H001,2008,0.8077675606111829,359.42000048571424,195.95555359331476,517.70654,78.51118629234168,289.7229670000001,fan,26.5955,87.0109,Asia
H002,2000,2.4191834638015277,239.84865961111115,204.34508080344818,734.1969,37.09069504409594,150.84870899999996,fan,28.0239,95.439,Asia
H006,1997,0.40121157247815714,240.29971652777775,190.15005724037457,316.59012,37.190634438882135,220.18100399999994,fan,26.4924,96.7136,Asia
H007,2010,1.0468025991015175,235.543039,130.09160573052174,371.72327,75.58698656675062,215.46559699999997,fan,26.8274,88.9309,Asia
H009,1994,3.588912426074556,122.89034277777776,154.7008846436222,678.09827,26.872054947826086,83.63967799999996,fan,27.4208,94.2478,Asia
H011,2001,3.3055548872203113,129.6665466571429,94.18446644056803,440.99847,36.14627322008734,97.41884999999985,fan,26.7187,89.7586,Asia
H013,1990,-0.7598168778898027,160.16466444444444,102.96740796509546,81.92829,57.77912992159091,173.97979899999984,fan,27.6664,94.8595,Asia
H027,1992,-0.06890390006076261,235.543039,130.09160573052174,226.57922,75.58698656675062,215.46559699999997,fan,26.8423,88.9466,Asia
H1,2011,-0.5254576143183615,122.89034277777776,154.7008846436222,41.601585,26.872054947826086,83.63967799999996,fan,27.4197,94.2413,Asia
H2,2013,0.8605126350814944,160.16466444444444,102.96740796509546,248.76942,57.77912992159091,173.97979899999984,fan,27.6786,94.8575,Asia
H6,2015,0.028166064251867313,99.22468238888888,117.28275493414438,102.528076,28.375926614285717,80.01068599999995,fan,27.4962,96.2185,Asia
JA.4.Kosi.2008.2008,2008,0.8077675606111829,359.42000048571424,195.95555359331476,517.70654,78.51118629234168,289.7229670000001,fan,26.600541,87.010028,Asia
JA.8.India.2004.2004,2004,1.1362418039282944,160.4870978235294,85.30742474124602,257.41696,30.396390877701933,111.58400899999995,fan,26.783104,90.956522,Asia
