site_name,avulsion_year,z_p95_ssc,zlog_p95_ssc,z_mean_ssc,zlog_mean_ssc,av_type,site_lat,site_lon,site_area
A001,1987,0.8494248285017428,1.1606822192465154,0.3464790155069851,0.9577040118174746,fan,3.7427,-73.5485,South America
A002,1987,-1.4200229486237086,-1.6142326988533224,-1.5902584520015801,-1.8100926371736819,fan,4.0451,-73.7608,South America
A004,2002,0.32402020442438045,0.5274187712978736,0.25760345312737815,0.47074494795398564,fan,3.9769,-73.3943,South America
A009,1991,-0.8327505694422429,-1.0854169805430278,-0.5754259581896867,-0.44251237363192847,fan,7.2251,-71.9329,South America
A012,2006,0.2810245974166655,0.3694428843979691,0.038263016550604566,0.18562744612294463,fan,7.4123,-68.5536,South America
A014,2005,-0.5853965135695045,-0.1829055156109539,-0.5565738370174586,-0.23125495999071166,fan,7.0341,-72.0334,South America
A015,1998,-0.6709189847643862,-0.61957787089802,-0.6910281910226641,-0.6164526334708967,fan,7.0836,-71.9672,South America
A017,1991,0.9111232632408249,0.9475919783443232,1.820538206654589,1.3776184382612817,fan,7.0677,-71.882,South America
A018,1997,-0.4197174892548996,-0.13120789556296394,0.6095563614287438,0.7163261797260865,fan,3.7613,-73.8341,South America
A022,1992,-0.46253145567128523,-0.20280127292918718,0.739269798484428,0.8298734621666254,fan,-15.871,-66.3614,South America
A026,2002,1.5438719975731081,1.676458061976948,2.292501639423586,2.1719464095341685,fan,-17.2135,-64.8638,South America
A027,1991,-0.8006683606992597,-0.7793537704418937,-0.712464990809259,-0.6304874476938258,fan,-17.3709,-64.2165,South America
A035,1994,0.26265635440222185,0.449303911057094,0.34533020370589823,0.4877047997454625,fan,-16.2747,-65.2037,South America
A045,1992,1.2619439518439803,1.109499970138935,1.4603149933768336,1.1540172670925335,fan,-17.0743,-62.9938,South America
A047,2002,1.409307316318348,1.0413778773898519,1.5663270643604843,1.2584039390321717,fan,7.5564,-72.0621,South America
A048,2000,-0.8065846303784101,-0.6585536980446236,-0.47420366671041486,-0.30062616651944507,fan,-16.3221,-65.8369,South America
A050,1987,-0.211148444760997,0.11393100283197222,0.32738589900510395,0.5023402326379183,fan,-17.3124,-64.2018,South America
A051,1998,-1.4039376970182604,-1.6003537643363062,-1.027602950297019,-1.0533992705076134,fan,7.5577,-72.0744,South America
ANGO2.2003,2003,0.6218397582931364,0.6389518074253432,0.41273828028735293,0.5105721697405086,delta,-12.88411,13.078039,Africa
ARG.001.2001,2001,0.9893383304265482,0.8467756677551351,0.6653959917538267,0.7866221493127756,delta,-27.42641,-65.11226,South America
B1,1994,2.1018144506715775,1.667028482615035,1.8619230979443984,1.4067433345400788,fan,-17.0815,-62.9795,South America
B10,1987,-0.511784926702081,-0.05955979592190025,0.0018122500943281432,0.2643539918959919,intra-lobe,-16.2728,-65.2038,South America
B13,2000,2.2004518244606452,1.592109677693245,1.2134293383732502,1.1575340757649746,intra-lobe,-15.8668,-66.3614,South America
B14,1990,1.6688095983826963,1.3720115812881355,1.949806660156476,1.6571098939141404,intra-lobe,-14.677,-66.5308,South America
B3,2011,0.11429669390066392,0.4658988776226761,0.10026010859355976,0.33273925265167187,fan,-17.3714,-64.2165,South America
B4,1994,2.6911276435440867,1.9004973651091022,2.811303827965351,2.221324618463959,fan,-17.216,-64.855,South America
B6,2007,-0.47811427634395953,-0.13235493336085885,-0.7088830919090022,-0.4980207336545608,fan,-16.9729,-65.3985,South America
B8,1998,-0.28320286902264297,0.0658649687118783,-0.2974172237596135,-0.06470586961869805,intra-lobe,-16.6125,-65.7438,South America
B9,2015,1.197181111381187,1.0746241339004239,0.9720139922393368,0.985837647572496,intra-lobe,-16.3225,-65.8384,South America
BETSIBOKA.2004,2004,0.7263106687016023,0.7570670916234205,1.8306125625441345,1.4406204059053063,fan,-16.79922,46.93067,Tropical Island
G1,2015,-0.047541074956593043,0.1497116320656719,-0.3280459952900828,-0.164748608768896,fan,-5.726,145.527,Tropical Island
G21,1995,0.4648577329501555,0.5528968697387954,1.8467647986310114,1.1868813295672196,fan,-4.7231,139.3009,Tropical Island
G22,1998,0.6309029212244402,0.7003528384107232,1.4338312987151947,1.1450428934691719,intra-lobe,-4.687,138.7889,Tropical Island
G23,2005,-0.1780944350726694,0.12648505777506133,-0.4112234575422538,-0.11673532757837224, fan,-4.3663,136.8475,Tropical Island
G24,2013,0.7341883401557177,0.847635975010815,0.2441123045891583,0.3631344288437324,fan,-4.3488,136.7978,Tropical Island
G5,1997,-0.5103905503755547,-0.28893441901156913,0.06995884596346169,0.26031457977123795,fan,-4.1512,135.244,Tropical Island
G6,2005,0.8374371004182879,0.8705342868275,0.3062599859445034,0.5323855212900512,fan,-3.96488,135.16649,Tropical Island
G9,2013,-0.2941672795663798,-0.16283040244279706,-0.5060156104047191,-0.4347332818666854,fan,-3.0491,136.3711,Tropical Island
H006,1997,0.665260967467555,0.8140392347393232,0.5478984193035432,0.758354418521036,fan,26.4924,96.7136,Asia
H007,2010,0.8490047756504215,0.9015262360751011,1.1766117686888495,1.193370031034929,fan,26.8274,88.9309,Asia
H009,1994,3.6002273359329706,2.2007917699727084,3.2732138242706417,2.490542133651795,fan,27.4208,94.2478,Asia
H011,2001,-0.07409722015834456,0.2801736880007509,0.9009614517900518,1.2019852789526346,fan,26.7187,89.7586,Asia
H013,1990,-0.6230462040216594,-0.49423766805611524,-0.4484172646524774,-0.361257754264795,fan,27.6664,94.8595,Asia
H027,1992,-0.5125003543083624,-0.2968883222266985,-0.1238844759892028,0.03977710427196189,fan,26.8423,88.9466,Asia
H029,2001,0.7266609089691556,0.7197611281738971,0.8095366826894951,0.752154140358822,fan,29.2733,78.6082,Asia
V11,2017,-0.14013978064096472,0.12711255204164223,-0.15312858935819645,0.09380583326443438,intra-lobe,7.1703,-71.345,South America
V13,2000,0.34542612934779743,0.5036794929875532,-0.042677506126370154,0.22959454057028436,fan,7.5596,-72.0799,South America
V4,2009,-0.35368007935515533,-0.013511216938517813,0.5826690118268404,0.7654641354275542,fan,3.504,-73.8759,South America
V5.1,1991,-0.7058575219718498,-0.9338657311480113,-0.4448724286749813,-0.639147843961128,fan,3.7426,-73.5485,South America
V5.2,1998,1.6876253959972776,1.5971758151302966,1.7312529215926562,1.8227021490666386,fan,6.1934,-71.778,South America
V6,2012,0.5202722732789694,0.8404499826421488,0.27954768597458673,0.5652108895545093,fan,6.1934,-71.778,South America
V9,2011,2.026239308282402,1.267170913565384,1.36442892685717,1.1271859045583408,fan,7.03724,-72.04633,South America
