site_name,site_area,avulsion_start_date,site_lat,site_lon,av_type,reach_ID,y_pred,date,year,month
A002,South America,1987,4.0451,-73.7608,fan,61569000271,,,,
A004,South America,2002,3.9769,-73.3943,fan,61569000111,,,,
A012,South America,2006,7.4123,-68.5536,fan,61550200441,,,,
A014,South America,2005,7.0341,-72.0334,fan,61550200931,,,,
A016,South America,1995,7.0066,-71.9253,fan,61550200921,,,,
A018,South America,1997,3.7613,-73.8341,fan,61598000471,,,,
A024,South America,1998,-16.0667,-66.1576,fan,62269400461,,,,
A027,South America,1991,-17.3709,-64.2165,fan,62269600351,,,,
A030,South America,2002,-17.3597,-64.2268,fan,62269600351,,,,
A035,South America,1994,-16.2747,-65.2037,fan,62269400261,,,,
A042,South America,1995,-16.9553,-65.3332,fan,62269400341,,,,
A045,South America,1992,-17.0743,-62.9938,fan,62269900281,,,,
A047,South America,2002,7.5564,-72.0621,fan,61549000311,,,,
A049,South America,1992,-16.969,-62.998,fan,62269900271,,,,
A050,South America,1987,-17.3124,-64.2018,fan,62269600341,,,,
A051,South America,1998,7.5577,-72.0744,fan,61549000311,,,,
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,52.115025,1984-09-30,1984.0,9.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,46.751072,1986-11-23,1986.0,11.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,790.56104,1986-12-25,1986.0,12.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,90.30781,1987-01-10,1987.0,1.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,41.965866,1989-02-16,1989.0,2.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,144.32991,1989-05-07,1989.0,5.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,75.99249,1989-06-08,1989.0,6.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,141.70349,1990-04-24,1990.0,4.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,27.029413,1990-07-29,1990.0,7.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,23.480896,1990-10-01,1990.0,10.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,110.671715,1991-05-13,1991.0,5.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,17.851332,1991-05-29,1991.0,5.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,64.40671,1991-06-30,1991.0,6.0
