site_name,site_lat,site_lon,reach_ID,y_pred,date,year,month
Jurua_Gaviao,-4.84,-66.85,62296300501,63.853065,1984-05-28,1984,5
Jurua_Gaviao,-4.84,-66.85,62296300501,164.10812,1984-07-31,1984,7
Jurua_Gaviao,-4.84,-66.85,62296300501,153.98581,1984-08-16,1984,8
Jurua_Gaviao,-4.84,-66.85,62296300501,167.3215,1984-09-01,1984,9
Jurua_Gaviao,-4.84,-66.85,62296300501,355.65952,1984-11-20,1984,11
Jurua_Gaviao,-4.84,-66.85,62296300501,226.46916,1985-02-24,1985,2
Jurua_Gaviao,-4.84,-66.85,62296300501,153.45744,1985-09-04,1985,9
Jurua_Gaviao,-4.84,-66.85,62296300501,125.940834,1985-10-06,1985,10
Jurua_Gaviao,-4.84,-66.85,62296300501,268.66577,1985-10-22,1985,10
Jurua_Gaviao,-4.84,-66.85,62296300501,230.40724,1986-06-19,1986,6
Jurua_Gaviao,-4.84,-66.85,62296300501,99.39538,1986-07-21,1986,7
Jurua_Gaviao,-4.84,-66.85,62296300501,75.33247,1986-08-06,1986,8
Jurua_Gaviao,-4.84,-66.85,62296300501,57.26923,1986-08-22,1986,8
Jurua_Gaviao,-4.84,-66.85,62296300501,71.95011,1987-02-14,1987,2
Jurua_Gaviao,-4.84,-66.85,62296300501,235.78473,1987-05-05,1987,5
Jurua_Gaviao,-4.84,-66.85,62296300501,177.46681,1987-05-21,1987,5
Jurua_Gaviao,-4.84,-66.85,62296300501,149.79893,1987-07-08,1987,7
Jurua_Gaviao,-4.84,-66.85,62296300501,53.77751,1987-08-09,1987,8
Jurua_Gaviao,-4.84,-66.85,62296300501,73.030945,1987-08-25,1987,8
Jurua_Gaviao,-4.84,-66.85,62296300501,44.032207,1987-09-26,1987,9
Jurua_Gaviao,-4.84,-66.85,62296300501,64.19831,1987-10-12,1987,10
Jurua_Gaviao,-4.84,-66.85,62296300501,153.75215,1988-07-26,1988,7
Jurua_Gaviao,-4.84,-66.85,62296300501,119.3157,1989-03-07,1989,3
Jurua_Gaviao,-4.84,-66.85,62296300501,271.46518,1989-03-23,1989,3
Jurua_Gaviao,-4.84,-66.85,62296300501,199.06232,1989-07-29,1989,7
Jurua_Gaviao,-4.84,-66.85,62296300501,129.73842,1990-03-26,1990,3
Jurua_Gaviao,-4.84,-66.85,62296300501,173.95534,1990-05-13,1990,5
Jurua_Gaviao,-4.84,-66.85,62296300501,238.12714,1990-06-30,1990,6
Jurua_Gaviao,-4.84,-66.85,62296300501,66.30878,1990-08-01,1990,8
Jurua_Gaviao,-4.84,-66.85,62296300501,59.852554,1990-08-17,1990,8
Jurua_Gaviao,-4.84,-66.85,62296300501,41.670887,1990-09-18,1990,9
Jurua_Gaviao,-4.84,-66.85,62296300501,174.63354,1990-11-05,1990,11
Jurua_Gaviao,-4.84,-66.85,62296300501,470.50348,1991-01-08,1991,1
Jurua_Gaviao,-4.84,-66.85,62296300501,280.3207,1991-01-24,1991,1
Jurua_Gaviao,-4.84,-66.85,62296300501,117.63599,1991-06-01,1991,6
Jurua_Gaviao,-4.84,-66.85,62296300501,281.05157,1991-06-17,1991,6
Jurua_Gaviao,-4.84,-66.85,62296300501,119.21598,1991-09-21,1991,9
Jurua_Gaviao,-4.84,-66.85,62296300501,118.967674,1991-10-07,1991,10
Jurua_Gaviao,-4.84,-66.85,62296300501,313.58124,1992-07-05,1992,7
Jurua_Gaviao,-4.84,-66.85,62296300501,130.61162,1992-07-21,1992,7
Jurua_Gaviao,-4.84,-66.85,62296300501,354.31662,1992-12-28,1992,12
Jurua_Gaviao,-4.84,-66.85,62296300501,235.28188,1993-02-14,1993,2
Jurua_Gaviao,-4.84,-66.85,62296300501,290.28708,1993-06-06,1993,6
Jurua_Gaviao,-4.84,-66.85,62296300501,83.79429,1993-07-24,1993,7
Jurua_Gaviao,-4.84,-66.85,62296300501,63.19846,1993-08-09,1993,8
Jurua_Gaviao,-4.84,-66.85,62296300501,117.399666,1993-08-25,1993,8
Jurua_Gaviao,-4.84,-66.85,62296300501,90.90125,1993-09-10,1993,9
Jurua_Gaviao,-4.84,-66.85,62296300501,71.67734,1993-09-26,1993,9
Jurua_Gaviao,-4.84,-66.85,62296300501,129.86212,1994-05-24,1994,5
Jurua_Gaviao,-4.84,-66.85,62296300501,316.03253,1994-07-27,1994,7
Jurua_Gaviao,-4.84,-66.85,62296300501,443.5975,1995-03-24,1995,3
Jurua_Gaviao,-4.84,-66.85,62296300501,203.59276,1995-06-28,1995,6
Jurua_Gaviao,-4.84,-66.85,62296300501,226.10419,1995-12-21,1995,12
Jurua_Gaviao,-4.84,-66.85,62296300501,59.6179,1996-04-27,1996,4
Jurua_Gaviao,-4.84,-66.85,62296300501,103.467255,1996-08-01,1996,8
Jurua_Gaviao,-4.84,-66.85,62296300501,63.48245,1996-08-17,1996,8
Jurua_Gaviao,-4.84,-66.85,62296300501,60.888233,1996-09-02,1996,9
Jurua_Gaviao,-4.84,-66.85,62296300501,415.53445,1996-12-23,1996,12
Jurua_Gaviao,-4.84,-66.85,62296300501,221.95909,1997-01-24,1997,1
Jurua_Gaviao,-4.84,-66.85,62296300501,82.08379,1997-08-04,1997,8
Jurua_Gaviao,-4.84,-66.85,62296300501,69.186714,1997-09-05,1997,9
Jurua_Gaviao,-4.84,-66.85,62296300501,59.86397,1997-09-21,1997,9
Jurua_Gaviao,-4.84,-66.85,62296300501,39.497246,1997-10-07,1997,10
Jurua_Gaviao,-4.84,-66.85,62296300501,303.1611,1998-01-27,1998,1
Jurua_Gaviao,-4.84,-66.85,62296300501,319.77774,1998-03-16,1998,3
Jurua_Gaviao,-4.84,-66.85,62296300501,159.95247,1998-04-01,1998,4
Jurua_Gaviao,-4.84,-66.85,62296300501,143.97491,1998-04-17,1998,4
Jurua_Gaviao,-4.84,-66.85,62296300501,287.0372,1998-07-06,1998,7
Jurua_Gaviao,-4.84,-66.85,62296300501,127.557495,1998-07-22,1998,7
Jurua_Gaviao,-4.84,-66.85,62296300501,74.001076,1998-08-07,1998,8
Jurua_Gaviao,-4.84,-66.85,62296300501,43.18121,1998-08-23,1998,8
Jurua_Gaviao,-4.84,-66.85,62296300501,250.32268,1998-11-11,1998,11
Jurua_Gaviao,-4.84,-66.85,62296300501,416.23538,1998-12-13,1998,12
Jurua_Gaviao,-4.84,-66.85,62296300501,219.33821,1998-12-29,1998,12
Jurua_Gaviao,-4.84,-66.85,62296300501,121.537315,1999-03-19,1999,3
Jurua_Gaviao,-4.84,-66.85,62296300501,299.29156,1999-07-09,1999,7
Jurua_Gaviao,-4.84,-66.85,62296300501,410.5742,1999-08-10,1999,8
Jurua_Gaviao,-4.84,-66.85,62296300501,376.37677,2000-01-01,2000,1
Jurua_Gaviao,-4.84,-66.85,62296300501,173.33884,2000-06-09,2000,6
Jurua_Gaviao,-4.84,-66.85,62296300501,277.99103,2000-07-11,2000,7
Jurua_Gaviao,-4.84,-66.85,62296300501,87.64843,2000-08-28,2000,8
Jurua_Gaviao,-4.84,-66.85,62296300501,172.52695,2000-09-13,2000,9
Jurua_Gaviao,-4.84,-66.85,62296300501,107.49317,2000-09-29,2000,9
Jurua_Gaviao,-4.84,-66.85,62296300501,185.92004,2001-05-27,2001,5
Jurua_Gaviao,-4.84,-66.85,62296300501,276.8602,2001-06-28,2001,6
Jurua_Gaviao,-4.84,-66.85,62296300501,72.51605,2001-07-30,2001,7
Jurua_Gaviao,-4.84,-66.85,62296300501,102.28251,2001-08-15,2001,8
Jurua_Gaviao,-4.84,-66.85,62296300501,87.56794,2001-08-31,2001,8
Jurua_Gaviao,-4.84,-66.85,62296300501,47.64647,2001-10-02,2001,10
Jurua_Gaviao,-4.84,-66.85,62296300501,155.63097,2001-11-03,2001,11
Jurua_Gaviao,-4.84,-66.85,62296300501,210.35426,2003-06-18,2003,6
Jurua_Gaviao,-4.84,-66.85,62296300501,235.30849,2003-07-04,2003,7
Jurua_Gaviao,-4.84,-66.85,62296300501,310.3761,2003-07-20,2003,7
Jurua_Gaviao,-4.84,-66.85,62296300501,178.08742,2003-08-05,2003,8
Jurua_Gaviao,-4.84,-66.85,62296300501,104.01873,2003-10-08,2003,10
Jurua_Gaviao,-4.84,-66.85,62296300501,168.536,2003-10-24,2003,10
Jurua_Gaviao,-4.84,-66.85,62296300501,240.9683,2003-11-25,2003,11
Jurua_Gaviao,-4.84,-66.85,62296300501,508.40427,2003-12-27,2003,12
Jurua_Gaviao,-4.84,-66.85,62296300501,255.31459,2004-04-01,2004,4
Jurua_Gaviao,-4.84,-66.85,62296300501,117.6303,2004-08-23,2004,8
Jurua_Gaviao,-4.84,-66.85,62296300501,126.82287,2004-09-08,2004,9
Jurua_Gaviao,-4.84,-66.85,62296300501,204.60733,2004-09-24,2004,9
Jurua_Gaviao,-4.84,-66.85,62296300501,213.9992,2004-11-11,2004,11
Jurua_Gaviao,-4.84,-66.85,62296300501,219.0179,2004-12-29,2004,12
Jurua_Gaviao,-4.84,-66.85,62296300501,83.98816,2005-04-20,2005,4
Jurua_Gaviao,-4.84,-66.85,62296300501,128.1062,2005-05-22,2005,5
Jurua_Gaviao,-4.84,-66.85,62296300501,211.7625,2005-06-07,2005,6
Jurua_Gaviao,-4.84,-66.85,62296300501,180.1969,2005-07-09,2005,7
Jurua_Gaviao,-4.84,-66.85,62296300501,76.08272,2005-08-10,2005,8
Jurua_Gaviao,-4.84,-66.85,62296300501,97.39311,2005-10-29,2005,10
Jurua_Gaviao,-4.84,-66.85,62296300501,221.87418,2006-04-23,2006,4
Jurua_Gaviao,-4.84,-66.85,62296300501,236.76118,2006-06-10,2006,6
Jurua_Gaviao,-4.84,-66.85,62296300501,135.1634,2006-06-26,2006,6
Jurua_Gaviao,-4.84,-66.85,62296300501,150.67384,2006-07-12,2006,7
Jurua_Gaviao,-4.84,-66.85,62296300501,24.775877,2006-09-14,2006,9
Jurua_Gaviao,-4.84,-66.85,62296300501,169.33961,2007-03-25,2007,3
Jurua_Gaviao,-4.84,-66.85,62296300501,255.8656,2007-05-12,2007,5
Jurua_Gaviao,-4.84,-66.85,62296300501,229.8491,2007-06-29,2007,6
Jurua_Gaviao,-4.84,-66.85,62296300501,88.485115,2007-09-17,2007,9
