site_name,avulsion_year,p95_zscore,p95_mean,p95_std,p95_avulsion_window,global_mean,global_p95,av_type,site_lat,site_lon,site_area
H001,2008,0.17187135581013321,231.48979982571424,121.04563076390646,252.29407649999962,78.51118629234168,289.7229670000001,fan,26.5955,87.0109,Asia
H002,2000,0.6314543080168359,113.43485092638883,105.2566658106307,179.89962599999998,37.464690623529414,137.7748829999999,fan,28.0239,95.439,Asia
H006,1997,0.46542235035367385,150.07076902222212,123.94497048528446,207.75752849999995,37.190634438882135,220.18100399999994,fan,26.4924,96.7136,Asia
H007,2010,0.5211934166702147,165.33546462285707,74.15183718944981,203.9829139999999,75.58698656675062,215.46559699999997,fan,26.8274,88.9309,Asia
H009,1994,2.3150906705736873,87.32507880333328,104.44246990842448,329.11886649999985,26.872054947826086,83.63967799999996,fan,27.4208,94.2478,Asia
H011,2001,0.42394007328537137,81.0471781428571,43.27502402631664,99.39319499999999,36.14627322008734,97.41884999999985,fan,26.7187,89.7586,Asia
H013,1990,-0.7252499433989267,118.50015826249995,65.9059007140223,70.7019075,57.77912992159091,173.97979899999984,fan,27.6664,94.8595,Asia
H027,1992,-0.32991714770807823,165.33546462285707,74.15183718944981,140.871502,75.58698656675062,215.46559699999997,fan,26.8423,88.9466,Asia
JA.4.Kosi.2008.2008,2008,0.17187135581013321,231.48979982571424,121.04563076390646,252.29407649999962,78.51118629234168,289.7229670000001,fan,26.600541,87.010028,Asia
JA.8.India.2004.2004,2004,1.057107585022422,86.86080520735291,63.06349820698059,153.5257075,21.90020699955506,90.65036799999965,fan,26.783104,90.956522,Asia
KAZ.014.2011,2011,0.9635377127239001,173.94944609729723,86.78702120159211,257.5720139999999,72.27946243467112,218.95098399999986,fan,46.104023,60.864246,Central Asia
RUS.002.1988,1988,1.21620167583452,60.16941697916666,42.61424239961753,111.99692999999996,50.36918017241379,132.74217599999997,delta,50.461424,93.107421,Asia
RUS.002.1996,1996,-0.504839069469407,60.16941697916666,42.61424239961753,38.6560825,50.36918017241379,132.74217599999997,delta,50.481243,93.077127,Asia
AFR0211.1998,1998,0.5055211595834787,338.38267405999994,195.66321224120063,437.29456799999997,184.32998401923078,483.9224749999994,delta,-12.45042,13.48999,Africa
BETSIBOKA.2004,2004,0.22227645195502627,332.347307132857,168.5226214368462,369.8059174999992,137.10165899647265,472.4257949999998,fan,-16.79922,46.93067,Tropical Island
FIHERENANA.2001,2001,0.0015338925450387566,524.0184319999998,167.06711355308292,524.2746950000001,277.79992146551723,635.3372375,delta,-23.30676,43.65592,Tropical Island
JA.34.Morocco.2001.2001,2001,-0.5486099296449174,85.7520550723684,80.46418172004257,41.608606,34.49520468108581,85.05929,delta,35.314136,-4.973272,Africa
JA.38.Madagascar.1994.1994,1994,-0.34512193719982803,441.0779870151515,173.5716874481585,381.17458999999997,277.9746263445693,580.5925599999999,delta,-20.48389,44.163135,Tropical Island
KEN.001.1989,1989,-0.6294350464051687,600.6828744565788,150.08988138828082,506.211043,320.58668978878694,672.6901,delta,4.5685778,36.032135,Africa
MAHAJAMBA.2004,2004,1.9106718213209108,248.08801817647048,126.38710223746506,489.572293,113.37856320850203,308.7836169999994,fan,-16.4197,47.397163,Tropical Island
MALAWI1.2014,2014,0.6188829468353454,143.77308836486483,137.69551911374174,228.99049699999995,66.16037093390663,299.4147689999999,fan,-13.88624,34.576099,Africa
MANAMBOLO.2004,2004,-0.35215497919976246,369.569180985294,110.8113764967046,330.54640299999994,155.5948841492007,442.40155199999964,delta,-19.1855,44.428446,Tropical Island
SAMBAO.2004,2004,-0.39054275760153007,222.7225989411764,111.07119539887849,179.344548,103.64066571153846,268.3337455,delta,-16.59976,44.621719,Tropical Island
G1,2015,-0.44287346833721974,530.3742966285712,197.20438877605108,443.03770499999996,268.9688295313531,670.0476599999998,fan,-5.726,145.527,Tropical Island
G11,2008,-0.06799554862197339,690.313826,204.29262328962207,676.422837,404.9031550656934,876.2670854999994,fan,-6.5762,146.6991,Tropical Island
G2,2013,1.0141170599193234,536.9649482057142,241.7116617817138,782.0888679999997,277.7234451,720.944147,fan,-5.1578,144.7887,Tropical Island
G21,1995,0.4648577329501555,447.7596438703703,230.02275438342562,554.6875,322.44530028155344,701.18728,fan,-4.7231,139.3009,Tropical Island
JA.40.NewGuinea.Madang.1989.1989,1989,0.08769405342802125,54.33290711406249,42.35237784949651,58.046958799999985,30.86328659027778,75.82886149999999,delta,-5.509766,145.89913,Tropical Island
JAVA3.1992,1992,0.30082266101794763,162.23024121515147,150.54157200659387,207.5165575,53.46434789565218,178.81657800000022,delta,-6.854915,110.17566,Tropical Island
PI0019.1989,1989,2.495683198368682,135.59601586060603,98.54276668615171,381.5275429999999,47.82383342682926,151.02907499999998,delta,1.885402,98.575117,Tropical Island
PI0801.1.2007,2007,-0.5742049282944538,95.66748157058821,77.26299494217825,51.302689099999995,48.21787769863014,149.0452325,delta,12.744353,120.81316,Tropical Island
PNG.010.2011,2011,-0.4271625537433916,201.80184670999992,105.88777928594293,156.57055249999993,99.59436946746668,306.2255,fan,-6.470433,146.55624,Tropical Island
SUMA2.2005,2005,1.7611617238868387,136.6913462340909,117.1880764649017,343.07850099999985,64.7801391061947,254.56772599999994,delta,5.2637288,96.854628,Tropical Island
A002,1987,-1.4200229486237086,201.95644137999994,110.27632203533915,45.3615334,129.39826401546392,330.9397595,fan,4.0451,-73.7608,South America
A004,2002,0.20330362155411022,209.37894520666666,138.02895678306683,237.4407319999999,136.50193924756098,339.07541999999995,fan,3.9769,-73.3943,South America
A012,2006,0.089763808551053,575.6729263709676,218.08704359840468,595.24925,354.40990281260946,730.634675,fan,7.4123,-68.5536,South America
A014,2005,-0.6299348009105686,199.5004803480769,152.17726375731124,103.63872599999996,106.2324357092437,320.91449399999965,fan,7.0341,-72.0334,South America
A018,1997,-0.43817069980551726,80.61394974967742,60.29907353778915,54.1926625,44.73936451304348,133.82333,fan,3.7613,-73.8341,South America
A024,1998,-0.5047194497341492,156.1165941689189,97.14940289054871,107.083401,71.67862690217392,230.30249199999986,fan,-16.0667,-66.1576,South America
A027,1991,-0.8169034421478324,124.58062569594593,93.67497815255592,48.0572136,52.33771128908047,217.4981014999999,fan,-17.3709,-64.2165,South America
A030,2002,1.8248984165830817,124.58062569594593,93.67497815255592,295.527945,52.33771128908047,217.4981014999999,fan,-17.3597,-64.2268,South America
A035,1994,-0.45488762985326864,384.82702960131576,252.40653309994758,270.01042,186.12633488823533,586.7250670000001,fan,-16.2747,-65.2037,South America
A042,1995,0.6549514480202923,246.86086503243234,132.85518374008038,333.87456,82.09714805204679,325.2242449999999,fan,-16.9553,-65.3332,South America
A045,1992,0.7927855398365483,828.6792150131579,174.71558199131562,967.1912019999997,549.512376621875,966.1971144999992,fan,-17.0743,-62.9938,South America
A047,2002,1.2616945186791737,438.97123435384617,231.95566067175028,731.6284199999999,234.6084737560975,716.2004889999998,fan,7.5564,-72.0621,South America
A049,1992,0.9922723976211058,653.2704568500001,294.57747172124164,945.571551,458.9053501736486,933.7678050000001,fan,-16.969,-62.998,South America
A050,1987,-0.2530432362993859,148.26672862432432,102.31522684800245,122.37655249999996,58.2947141898017,204.870844,fan,-17.3124,-64.2018,South America
A051,1998,-1.4039376970182604,438.97123435384617,231.95566067175028,113.3199383,234.6084737560975,716.2004889999998,fan,7.5577,-72.0744,South America
ARG.001.2001,2001,0.9260518980539184,285.60017347631566,162.66212384018434,436.2337419999999,79.6330471823689,339.3918875,delta,-27.42641,-65.11226,South America
B1,1994,0.5398046580157315,828.6792150131579,174.71558199131562,922.9914999999995,549.512376621875,966.1971144999992,fan,-17.0815,-62.9795,South America
B10,1987,-0.6107769902305582,384.82702960131576,252.40653309994758,230.662927,186.12633488823533,586.7250670000001,intra-lobe,-16.2728,-65.2038,South America
B11,2011,-0.5470412847394779,156.1165941689189,97.14940289054871,102.97185999999999,71.67862690217392,230.30249199999986,intra-lobe,-16.0662,-66.1572,South America
B3,2011,-0.0074643219538005744,124.58062569594593,93.67497815255592,123.88140550000001,52.33771128908047,217.4981014999999,fan,-17.3714,-64.2165,South America
B6,2007,-0.9139679884075171,246.86086503243234,132.85518374008038,125.43548,82.09714805204679,325.2242449999999,fan,-16.9729,-65.3985,South America
R48,2002,1.6810003192372025,283.4675590128571,177.6163386587744,582.040681,147.43139229107982,489.7486699999998,retrogradational,-11.864,-71.385,South America
R49,2000,0.4925724850938147,494.73381332894724,164.82779109269472,575.923448,195.9081766128093,616.1396349999997,retrogradational,-12.2393,-70.9148,South America
SA0505.1999,1999,1.240759637031096,305.85657995161284,186.08096536799317,536.738331,151.65063057594938,521.519105,delta,-3.543468,-80.47866,South America
V13,2000,0.1981294679899607,438.97123435384617,231.95566067175028,484.9284859999999,234.6084737560975,716.2004889999998,fan,7.5596,-72.0799,South America
V4,2009,-0.24910817037553362,134.46182915903222,112.50031308400928,106.43708199999996,59.74488595572916,192.07333449999976,fan,3.504,-73.8759,South America
V5.2,1998,1.16417262339599,88.51687206612903,66.37513318983716,165.788985,43.329927520588235,114.23542800000001,fan,6.1934,-71.778,South America
V6,2012,0.3256622344101093,88.51687206612903,66.37513318983716,110.13274625,43.329927520588235,114.23542800000001,fan,6.1934,-71.778,South America
V9,2011,1.651410535628382,199.5004803480769,152.17726375731124,450.8076169999998,106.2324357092437,320.91449399999965,fan,7.03724,-72.04633,South America
