"site_name","avulsion_year","p95_zscore","p95_mean","p95_std","p95_avulsion_window","global_mean","global_p95","av_type","site_lat","site_lon","site_area"
"H001",2008,0.807767560611183,359.420000485714,195.955553593315,517.70654,78.5111862923417,289.722967,"fan",26.5955,87.0109,"Asia"
"H002",2000,2.41918346380153,239.848659611111,204.345080803448,734.1969,37.0906950440959,150.848709,"fan",28.0239,95.439,"Asia"
"H006",1997,0.401211572478157,240.299716527778,190.150057240375,316.59012,37.1906344388821,220.181004,"fan",26.4924,96.7136,"Asia"
"H007",2010,1.04680259910152,235.543039,130.091605730522,371.72327,75.5869865667506,215.465597,"fan",26.8274,88.9309,"Asia"
"H009",1994,3.58891242607456,122.890342777778,154.700884643622,678.09827,26.8720549478261,83.639678,"fan",27.4208,94.2478,"Asia"
"H011",2001,3.30555488722031,129.666546657143,94.184466440568,440.99847,36.1462732200873,97.4188499999998,"fan",26.7187,89.7586,"Asia"
"H013",1990,-0.759816877889803,160.164664444444,102.967407965095,81.92829,57.7791299215909,173.979799,"fan",27.6664,94.8595,"Asia"
"H027",1992,-0.0689039000607626,235.543039,130.091605730522,226.57922,75.5869865667506,215.465597,"fan",26.8423,88.9466,"Asia"
"H1",2011,-0.525457614318361,122.890342777778,154.700884643622,41.601585,26.8720549478261,83.639678,"fan",27.4197,94.2413,"Asia"
"H2",2013,0.860512635081494,160.164664444444,102.967407965095,248.76942,57.7791299215909,173.979799,"fan",27.6786,94.8575,"Asia"
"H6",2015,0.0281660642518673,99.2246823888889,117.282754934144,102.528076,28.3759266142857,80.010686,"fan",27.4962,96.2185,"Asia"
"JA.4.Kosi.2008.2008",2008,0.807767560611183,359.420000485714,195.955553593315,517.70654,78.5111862923417,289.722967,"fan",26.600541,87.010028,"Asia"
"JA.8.India.2004.2004",2004,1.13624180392829,160.487097823529,85.307424741246,257.41696,30.3963908777019,111.584009,"fan",26.783104,90.956522,"Asia"
"KAZ.014.2011",2011,1.03529146001844,234.693652027027,115.655689819793,354.431,72.2794624346711,218.950984,"fan",46.104023,60.864246,"Central Asia"
"RUS.002.1988",1988,1.4608254747705,61.9082773333333,44.6497023724984,127.1337,50.3691801724138,132.742176,"delta",50.461424,93.107421,"Asia"
"RUS.002.1996",1996,-0.507266389916274,61.9082773333333,44.6497023724984,39.258984,50.3691801724138,132.742176,"delta",50.481243,93.077127,"Asia"
"AFR0211.1998",1998,0.429782090203693,380.911010571429,223.953700311136,477.1623,184.329984019231,483.922474999999,"delta",-12.45042,13.48999,"Africa"
"BETSIBOKA.2004",2004,1.50413921161499,483.417916,286.257602138897,913.9892,137.101658996473,472.425795,"fan",-16.79922,46.93067,"Tropical Island"
"FIHERENANA.2001",2001,0.435353668950155,482.167718387097,240.334052691497,586.79803,206.15447653125,568.4097675,"delta",-23.30676,43.65592,"Tropical Island"
"JA.34.Morocco.2001.2001",2001,-0.638226578235324,109.025404342105,96.2689590771803,47.583996,34.4952046810858,85.05929,"delta",35.314136,-4.973272,"Africa"
"JA.38.Madagascar.1994.1994",1994,-0.454894009273497,470.804453787879,185.666445515002,386.3459,277.974626344569,580.59256,"delta",-20.48389,44.163135,"Tropical Island"
"KEN.001.1989",1989,-0.90348799549354,693.421506315789,174.854637918561,535.44244,320.586689788787,672.6901,"delta",4.5685778,36.032135,"Africa"
"MAHAJAMBA.2004",2004,0.857730889873905,344.795126823529,195.536706391823,512.513,117.734248625,348.63992,"fan",-16.4197,47.397163,"Tropical Island"
